location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,deaths_min,deaths_max,deaths_mean,deaths_noncovid
San Marino,2021-01-31,1,monthly,,,,,,27.0,16.0,25.0,28.0,23.0,23.0,,8.0,16.0,28.0,23.8,
San Marino,2021-02-28,2,monthly,,,,,,17.0,27.0,33.0,19.0,15.0,26.0,,7.0,15.0,33.0,22.2,
San Marino,2021-03-31,3,monthly,,,,,,19.0,19.0,27.0,23.0,18.0,50.0,,10.0,18.0,27.0,21.2,
San Marino,2021-04-30,4,monthly,,,,,,24.0,25.0,19.0,19.0,26.0,31.0,,,19.0,26.0,22.6,
San Marino,2021-05-31,5,monthly,,,,,,20.0,15.0,19.0,24.0,23.0,25.0,,,15.0,24.0,20.2,
San Marino,2021-06-30,6,monthly,,,,,,24.0,21.0,27.0,11.0,24.0,29.0,,,11.0,27.0,21.4,
San Marino,2021-07-31,7,monthly,,,,,,19.0,18.0,24.0,12.0,22.0,24.0,,,12.0,24.0,19.0,
San Marino,2021-08-31,8,monthly,,,,,,16.0,20.0,22.0,22.0,22.0,21.0,,,16.0,22.0,20.4,
San Marino,2021-09-30,9,monthly,,,,,,21.0,14.0,27.0,19.0,18.0,18.0,,,14.0,27.0,19.8,
San Marino,2021-10-31,10,monthly,,,,,,10.0,23.0,22.0,24.0,17.0,25.0,,,10.0,24.0,19.2,
San Marino,2021-11-30,11,monthly,,,,,,20.0,23.0,10.0,25.0,27.0,26.0,,,10.0,27.0,21.0,
San Marino,2021-12-31,12,monthly,,,,,,18.0,32.0,23.0,18.0,16.0,45.0,,,16.0,32.0,21.4,
