date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,Bulgaria,weekly,1,2262.0,2422.0,2419.0,2074.0,2302.0,2502.0,2445.0,3169.0,2274.0,2533.0,2111.0,2628.0,3118.0,529.0,25034.999,212925.0,11.634,50.0,1974420.818,1931307.286,343821.857,28.629,28.004,4.985,6896655.0,2074.0,3169.0,2440.2,2589.0
2022-01-16,Bulgaria,weekly,2,2041.0,2397.0,2355.0,2182.0,2246.0,2511.0,2281.0,3222.0,2166.0,2692.0,2279.0,2489.0,3100.0,530.0,37532.427,226935.0,16.574,50.0,1989794.091,1956202.429,465620.286,28.852,28.365,6.751,6896655.0,2041.0,3222.0,2409.3,2570.0
2022-01-23,Bulgaria,weekly,3,2276.0,2267.0,2354.0,2230.0,2317.0,2423.0,2276.0,2814.0,2374.0,2756.0,2185.0,2525.0,3224.0,578.0,53222.286,252508.0,21.069,50.0,2005167.364,1971804.0,548375.143,29.074,28.591,7.951,6896655.0,2230.0,2814.0,2408.7,2646.0
2022-01-30,Bulgaria,weekly,4,2432.0,2261.0,2364.0,2120.0,2411.0,2339.0,2367.0,2627.0,2360.0,2848.0,2393.0,2464.0,3419.0,496.0,61828.999,232696.0,26.712,50.0,2020540.636,1986831.286,593666.286,29.297,28.809,8.608,6896655.0,2120.0,2848.0,2412.9,2923.0
2022-02-06,Bulgaria,weekly,5,2516.0,2356.0,2602.0,2180.0,2456.0,2338.0,2304.0,2525.0,2564.0,2573.0,2439.0,2388.0,3573.0,610.0,56938.572,253797.0,22.551,45.234,2035913.909,2005766.286,624225.143,29.52,29.083,9.051,6896655.0,2180.0,2602.0,2441.4,2963.0
2022-02-13,Bulgaria,weekly,6,2458.0,2387.0,2892.0,2111.0,2506.0,2296.0,2225.0,2347.0,2456.0,2245.0,2350.0,2371.0,3578.0,634.0,45405.856,204202.0,22.207,44.44,2051287.182,2022182.714,647368.857,29.743,29.321,9.387,6896655.0,2111.0,2892.0,2392.3,2944.0
2022-02-20,Bulgaria,weekly,7,2323.0,2318.0,2886.0,2186.0,2442.0,2341.0,2100.0,2352.0,2380.0,2300.0,2310.0,2494.0,3381.0,638.0,34477.0,180033.0,19.112,44.44,2066660.455,2033833.429,665862.0,29.966,29.49,9.655,6896655.0,2100.0,2886.0,2362.8,2743.0
2022-02-27,Bulgaria,weekly,8,2163.0,2252.0,2587.0,2259.0,2281.0,2538.0,2095.0,2312.0,2234.0,2264.0,2161.0,2589.0,2960.0,440.0,24595.571,152861.0,16.045,44.44,2074648.143,2042142.714,681687.429,30.082,29.611,9.884,6896655.0,2095.0,2587.0,2298.5,2520.0
2022-03-06,Bulgaria,weekly,9,2089.0,2240.0,2374.0,2181.0,2114.0,2559.0,1959.0,2138.0,2471.0,2275.0,2183.0,2755.0,2653.0,350.0,14851.143,112702.0,13.116,44.44,2077096.643,2046869.238,692201.286,30.117,29.679,10.037,6896655.0,1959.0,2559.0,2240.0,2303.0
2022-03-13,Bulgaria,weekly,10,2246.0,2298.0,2326.0,2176.0,2098.0,2472.0,2088.0,2230.0,2382.0,2166.0,2049.0,3020.0,2567.0,266.0,11866.427,100209.0,11.841,44.44,2079040.286,2047427.611,699966.429,30.146,29.687,10.149,6896655.0,2088.0,2472.0,2248.2,2301.0
2022-03-20,Bulgaria,weekly,11,2180.0,2267.0,2334.0,2228.0,2187.0,2441.0,2100.0,2117.0,2239.0,2123.0,2075.0,3391.0,2374.0,184.0,11529.143,89703.0,12.882,31.217,2080605.286,2047588.222,708348.071,30.168,29.69,10.271,6896655.0,2100.0,2441.0,2221.6,2190.0
2022-03-27,Bulgaria,weekly,12,2190.0,2240.0,2251.0,2198.0,2123.0,2363.0,2020.0,2115.0,2164.0,2148.0,2044.0,3686.0,2429.0,155.0,9983.573,94669.0,10.561,21.3,2081964.571,2048675.071,715957.357,30.188,29.705,10.381,6896655.0,2020.0,2363.0,2181.2,2274.0
