date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Belgium,weekly,1,2280.0,2334.0,2286.0,2236.0,2214.0,2461.0,2244.0,2557.0,2382.0,2308.0,2234.0,2480.0,2337.0,377.0,12331.001,255668.0,4.892,60.19,15398.0,129.143,,0.132,0.001,,11632334.0,2214.0,2557.0,2330.2,2103.0
2021-01-17,Belgium,weekly,2,2352.0,2323.0,2218.0,2267.0,2200.0,2525.0,2234.0,2735.0,2317.0,2347.0,2388.0,2409.0,2197.0,357.0,14449.714,316168.0,4.571,60.19,89321.0,374.857,,0.768,0.003,,11632334.0,2200.0,2735.0,2351.8,2052.0
2021-01-24,Belgium,weekly,3,2303.0,2191.0,2232.0,2238.0,2136.0,2526.0,2295.0,2645.0,2336.0,2312.0,2314.0,2443.0,2339.0,344.0,14296.857,301276.0,4.745,60.19,203958.0,1290.571,,1.753,0.011,,11632334.0,2136.0,2645.0,2321.4,2099.0
2021-01-31,Belgium,weekly,4,2226.0,2030.0,2233.0,2444.0,2090.0,2510.0,2263.0,2691.0,2253.0,2395.0,2204.0,2448.0,2456.0,313.0,15687.715,337262.0,4.655,62.169,296616.0,15098.143,,2.55,0.13,,11632334.0,2030.0,2691.0,2313.5,2135.0
2021-02-07,Belgium,weekly,5,2248.0,2144.0,2358.0,2576.0,2190.0,2644.0,2180.0,2950.0,2355.0,2421.0,2356.0,2282.0,,297.0,16304.715,354872.0,4.594,62.96,347847.429,84794.286,,2.99,0.729,,11632334.0,2144.0,2950.0,2406.6,1985.0
2021-02-14,Belgium,weekly,6,2151.0,2066.0,2445.0,2448.0,2225.0,2727.0,2127.0,2691.0,2353.0,2544.0,2169.0,2229.0,,273.0,14141.715,321457.0,4.399,62.96,384663.714,193107.571,,3.307,1.66,,11632334.0,2066.0,2727.0,2377.7,1956.0
2021-02-21,Belgium,weekly,7,2260.0,2068.0,2717.0,2444.0,2167.0,2892.0,2121.0,2631.0,2565.0,2409.0,2307.0,2322.0,,241.0,13947.714,273818.0,5.111,62.96,422575.286,284011.571,,3.633,2.442,,11632334.0,2068.0,2892.0,2427.4,2081.0
2021-02-28,Belgium,weekly,8,2210.0,2053.0,2770.0,2435.0,2196.0,2774.0,2230.0,2389.0,2628.0,2418.0,2301.0,2147.0,,174.0,16870.714,280482.0,6.016,62.96,501362.571,330798.286,,4.31,2.844,,11632334.0,2053.0,2774.0,2410.3,1973.0
2021-03-07,Belgium,weekly,9,2116.0,1972.0,2650.0,2549.0,2131.0,2643.0,2336.0,2315.0,3002.0,2428.0,2249.0,2019.0,,184.0,16520.571,301328.0,5.487,62.96,620624.429,365049.143,,5.335,3.138,,11632334.0,1972.0,3002.0,2414.2,1835.0
2021-03-14,Belgium,weekly,10,2144.0,2144.0,2480.0,2572.0,2070.0,2457.0,2264.0,2138.0,3016.0,2389.0,2212.0,2165.0,,180.0,18144.572,324421.0,5.586,62.96,771593.429,404267.714,,6.633,3.475,,11632334.0,2070.0,3016.0,2367.4,1985.0
2021-03-21,Belgium,weekly,11,2092.0,2077.0,2427.0,2343.0,2198.0,2380.0,2248.0,2036.0,2724.0,2335.0,2234.0,2107.0,,266.0,24071.287,382950.0,6.28,62.96,977343.286,456433.429,,8.402,3.924,,11632334.0,2036.0,2724.0,2286.0,1841.0
2021-03-28,Belgium,weekly,12,2036.0,2049.0,2162.0,2364.0,2152.0,2380.0,2364.0,2106.0,2594.0,2167.0,2554.0,2115.0,,190.0,32363.428,459039.0,7.042,62.96,1225956.286,519029.857,,10.539,4.462,,11632334.0,2036.0,2594.0,2237.4,1925.0
2021-04-04,Belgium,weekly,13,2024.0,2014.0,2206.0,2365.0,2048.0,2270.0,2273.0,2068.0,2460.0,2063.0,3198.0,2228.0,,272.0,32563.428,450016.0,7.242,71.959,1488085.571,588488.143,,12.793,5.059,,11632334.0,2014.0,2460.0,2179.1,1956.0
2021-04-11,Belgium,weekly,14,1918.0,1936.0,2099.0,2418.0,2175.0,2163.0,2080.0,1969.0,2203.0,2183.0,4021.0,2216.0,,304.0,26225.714,321885.0,8.175,75.93,1803590.857,651458.714,,15.505,5.6,,11632334.0,1918.0,2418.0,2114.4,1912.0
2021-04-18,Belgium,weekly,15,1948.0,1898.0,2122.0,2415.0,2028.0,2218.0,2160.0,1954.0,2175.0,1969.0,4292.0,2172.0,,274.0,25411.429,291996.0,8.712,75.93,2233326.714,734590.571,,19.199,6.315,,11632334.0,1898.0,2415.0,2088.7,1898.0
2021-04-25,Belgium,weekly,16,1929.0,2046.0,2110.0,2254.0,1920.0,2152.0,2049.0,1917.0,2044.0,2095.0,3703.0,2221.0,,277.0,24753.859,300166.0,8.254,60.19,2641669.143,787048.714,,22.71,6.766,,11632334.0,1917.0,2254.0,2051.6,1944.0
2021-05-02,Belgium,weekly,17,1956.0,1934.0,2027.0,2139.0,2017.0,2087.0,1996.0,2079.0,1953.0,2046.0,3039.0,2209.0,,267.0,22569.285,325492.0,6.945,58.601,3022598.0,852186.429,,25.984,7.326,,11632334.0,1934.0,2139.0,2023.4,1942.0
2021-05-09,Belgium,weekly,18,1894.0,1882.0,2091.0,1940.0,1892.0,2005.0,2087.0,2091.0,1867.0,2011.0,2429.0,2263.0,,260.0,20793.142,354606.0,5.871,53.573,3459429.857,1045835.286,,29.74,8.991,,11632334.0,1867.0,2091.0,1976.0,2003.0
2021-05-16,Belgium,weekly,19,1967.0,1962.0,2020.0,1960.0,1936.0,2063.0,2065.0,2009.0,1980.0,2034.0,2390.0,2077.0,,158.0,18411.714,331743.0,5.538,50.93,3881448.286,1291499.571,,33.368,11.103,,11632334.0,1936.0,2065.0,1999.6,1919.0
2021-05-23,Belgium,weekly,20,1989.0,1872.0,1879.0,1988.0,2000.0,1976.0,1926.0,2110.0,1860.0,2034.0,2042.0,2028.0,,133.0,15726.856,327846.0,4.806,50.93,4290535.857,1631443.286,,36.885,14.025,,11632334.0,1860.0,2110.0,1963.4,1895.0
2021-05-30,Belgium,weekly,21,1886.0,1959.0,2086.0,1984.0,1948.0,1950.0,1946.0,2009.0,1951.0,1995.0,2082.0,1995.0,,98.0,14158.571,317017.0,4.457,50.93,4593811.714,2013821.143,,39.492,17.312,,11632334.0,1886.0,2086.0,1971.4,1897.0
2021-06-06,Belgium,weekly,22,2029.0,1997.0,1904.0,2017.0,1957.0,1905.0,1885.0,1981.0,1953.0,1933.0,1983.0,1988.0,,93.0,11333.857,321060.0,3.524,50.93,4985679.143,2446399.429,,42.861,21.031,,11632334.0,1885.0,2029.0,1956.1,1895.0
2021-06-13,Belgium,weekly,23,1882.0,1870.0,1897.0,2179.0,1948.0,1942.0,1856.0,1815.0,1811.0,1966.0,1799.0,1881.0,,55.0,7314.572,290282.0,2.508,50.93,5540547.286,2969882.143,,47.631,25.531,,11632334.0,1811.0,2179.0,1916.6,1826.0
2021-06-20,Belgium,weekly,24,1736.0,1888.0,1845.0,1999.0,1898.0,2003.0,1851.0,1868.0,1734.0,1847.0,1899.0,1969.0,,48.0,4046.571,274624.0,1.472,50.93,6152462.286,3471977.0,,52.891,29.848,,11632334.0,1734.0,2003.0,1866.9,1921.0
2021-06-27,Belgium,weekly,25,1961.0,1832.0,1902.0,2032.0,1853.0,1900.0,1920.0,2101.0,1779.0,1913.0,1822.0,1780.0,,24.0,3378.143,280293.0,1.205,50.93,6806812.429,3797113.143,,58.516,32.643,,11632334.0,1779.0,2101.0,1919.3,1756.0
