location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,stringency_index,people_vaccinated,people_fully_vaccinated,population,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
United Kingdom,2020-01-05,1,weekly,,,,,,13430.0,14860.0,13608.0,14699.0,12421.0,13767.0,20039.0,,,,,,,,12421.0,14860.0,13803.6,
United Kingdom,2020-01-12,2,weekly,,,,,,18317.0,13149.0,15526.0,17429.0,14484.0,16018.0,20035.0,,,,,,,,13149.0,18317.0,15781.0,
United Kingdom,2020-01-19,3,weekly,,,,,,16735.0,13056.0,15230.0,16351.0,13543.0,14723.0,20709.0,,,,,,,,13056.0,16735.0,14983.0,
United Kingdom,2020-01-26,4,weekly,,,,,,15710.0,12853.0,14461.0,15970.0,13282.0,13426.0,20489.0,,,,,,,,12853.0,15970.0,14455.2,
United Kingdom,2020-02-02,5,weekly,,,,,,14559.0,12556.0,14184.0,15084.0,12798.0,13123.0,19160.0,0.0,9.256666666666666,,,67886004.0,,,12556.0,15084.0,13836.2,13123.0
United Kingdom,2020-02-09,6,weekly,,,,,,13728.0,12680.0,13794.0,14104.0,13220.0,12532.0,17148.0,0.0,11.11,,,67886004.0,,,12680.0,14104.0,13505.2,12532.0
United Kingdom,2020-02-16,7,weekly,,,,,,13510.0,12015.0,13209.0,13924.0,13346.0,12416.0,15583.0,0.0,11.11,,,67886004.0,,,12015.0,13924.0,13200.8,12416.0
United Kingdom,2020-02-23,8,weekly,,,,,,13069.0,12716.0,13328.0,13752.0,12876.0,12299.0,14290.0,0.0,11.11,,,67886004.0,,,12716.0,13752.0,13148.2,12299.0
United Kingdom,2020-03-01,9,weekly,,,,,,13179.0,12730.0,12815.0,12188.0,12476.0,12333.0,13115.0,0.0,11.11,,,67886004.0,,,12188.0,13179.0,12677.6,12333.0
United Kingdom,2020-03-08,10,weekly,,,,,,13003.0,12487.0,12577.0,14857.0,12394.0,12412.0,12471.0,2.0,11.11,,,67886004.0,,,12394.0,14857.0,13063.6,12410.0
United Kingdom,2020-03-15,11,weekly,,,,,,12472.0,12480.0,12088.0,14366.0,12017.0,12539.0,11678.0,41.0,11.902857142857142,,,67886004.0,,,12017.0,14366.0,12684.6,12498.0
United Kingdom,2020-03-22,12,weekly,,,,,,12026.0,10970.0,11832.0,13397.0,11794.0,12113.0,11449.0,246.0,35.45,,,67886004.0,,,10970.0,13397.0,12003.8,11867.0
United Kingdom,2020-03-29,13,weekly,,,,,,11985.0,11733.0,11453.0,11308.0,11259.0,12508.0,9461.0,1390.0,79.43142857142857,,,67886004.0,,,11259.0,11985.0,11547.6,11118.0
United Kingdom,2020-04-05,14,weekly,,,,,,10321.0,13059.0,11304.0,12269.0,11442.0,18565.0,10401.0,4203.0,79.63,,,67886004.0,,,10321.0,13059.0,11679.0,14362.0
United Kingdom,2020-04-12,15,weekly,,,,,,11572.0,12753.0,9756.0,13841.0,11661.0,20929.0,10474.0,6448.0,79.63,,,67886004.0,,,9756.0,13841.0,11916.6,14481.0
United Kingdom,2020-04-19,16,weekly,,,,,,13058.0,12310.0,10993.0,12639.0,10240.0,24691.0,11358.0,6184.0,79.63,,,67886004.0,,,10240.0,13058.0,11848.0,18507.0
United Kingdom,2020-04-26,17,weekly,,,,,,12020.0,11792.0,12354.0,11595.0,11452.0,24303.0,11023.0,5539.0,79.63,,,67886004.0,,,11452.0,12354.0,11842.6,18764.0
United Kingdom,2020-05-03,18,weekly,,,,,,11559.0,10396.0,10371.0,11535.0,12693.0,20058.0,9210.0,4239.0,79.63,,,67886004.0,,,10371.0,12693.0,11310.8,15819.0
United Kingdom,2020-05-10,19,weekly,,,,,,10137.0,11997.0,12110.0,9820.0,10359.0,14428.0,11566.0,3175.0,79.63,,,67886004.0,,,9820.0,12110.0,10884.6,11253.0
United Kingdom,2020-05-17,20,weekly,,,,,,11692.0,11221.0,11716.0,11386.0,11717.0,16390.0,11221.0,2433.0,73.15142857142858,,,67886004.0,,,11221.0,11717.0,11546.4,13957.0
United Kingdom,2020-05-24,21,weekly,,,,,,11323.0,11011.0,11423.0,10973.0,11652.0,13839.0,10991.0,2139.0,71.3,,,67886004.0,,,10973.0,11652.0,11276.4,11700.0
United Kingdom,2020-05-31,22,weekly,,,,,,9513.0,9189.0,9601.0,9395.0,9531.0,11268.0,9115.0,1488.0,70.50285714285714,,,67886004.0,,,9189.0,9601.0,9445.8,9780.0
United Kingdom,2020-06-07,23,weekly,,,,,,11590.0,11171.0,11131.0,11257.0,11460.0,12106.0,11619.0,1175.0,67.59000000000002,,,67886004.0,,,11131.0,11590.0,11321.8,10931.0
