location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Philippines,2021-01-31,1,monthly,,,,,,50381.0,49293.0,50476.0,52126.0,57701.0,53506.0,57266.0,1505.0,1587.2211935483872,31511.870967741936,60.47064516129033,,,111046910.0,5.036899253532719,,,49293.0,57701.0,51995.4,55761.0
Philippines,2021-02-28,2,monthly,,,,,,44540.0,43931.0,44765.0,45236.0,48798.0,46264.0,52792.0,1569.0,1763.551035714286,32938.03571428572,65.21142857142857,0.0,,111046910.0,5.3541475606252,0.0,,43931.0,48798.0,45454.0,51223.0
Philippines,2021-03-31,3,monthly,,,,,,46452.0,46493.0,47136.0,48366.0,51109.0,46003.0,61073.0,979.0,4909.004645161291,42590.967741935485,72.44548387096773,301003.68548387097,3636.1666666666665,111046910.0,11.52592886572952,0.2710599380783049,0.003274442005335103,46452.0,51109.0,47911.2,60094.0
Philippines,2021-04-30,4,monthly,,,,,,44421.0,47511.0,46487.0,47626.0,50247.0,44777.0,66916.0,3937.0,9728.766566666665,52002.6,76.268,1193980.225,156910.67222222223,111046910.0,18.708231062805833,1.0752034658145826,0.14130125027542165,44421.0,50247.0,47258.4,62979.0
Philippines,2021-05-31,5,monthly,,,,,,46953.0,48648.0,48141.0,49662.0,52108.0,50257.0,69180.0,3732.0,6309.216580645161,49884.3870967742,68.77612903225807,2600543.1989247315,725154.9086021506,111046910.0,12.64767785641121,2.3418420187691233,0.6530167373429396,46953.0,52108.0,49102.4,65448.0
Philippines,2021-06-30,6,monthly,,,,,,44172.0,44862.0,46118.0,46353.0,49028.0,48494.0,,3696.0,6260.376233333333,50199.6,71.76,5780654.911111112,1968113.1611111113,111046910.0,12.470968360969676,5.205597266156358,1.7723259126355801,44172.0,49028.0,46106.6,
Philippines,2021-07-31,7,monthly,,,,,,47618.0,48848.0,48913.0,49424.0,49494.0,54427.0,,3227.0,5520.244290322581,48711.83870967742,71.76,10085285.411290323,4600864.338709678,111046910.0,11.332449023785038,9.082004543206402,4.143171870977479,47618.0,49494.0,48859.4,
Philippines,2021-08-31,8,monthly,,,,,,48511.0,51521.0,51154.0,51375.0,50265.0,56843.0,,5559.0,11885.792612903226,59598.032258064515,71.13516129032259,17539273.643548388,12297614.58064516,111046910.0,19.943263498091245,15.794472483339147,11.074251936091837,48511.0,51521.0,50565.2,
Philippines,2021-09-30,9,monthly,,,,,,45777.0,51728.0,47870.0,49444.0,52035.0,53968.0,,4846.0,18788.395166666665,74418.73333333334,74.62933333333334,24156118.200000003,17710890.616666667,111046910.0,25.24686234917552,21.753075524568853,15.949017056545442,45777.0,52035.0,49370.8,
Philippines,2021-10-31,10,monthly,,,,,,48404.0,52357.0,49922.0,50917.0,54980.0,54211.0,,1366.0,12962.72709090909,60070.9,73.27636363636364,,22499453.181818184,111046910.0,21.57904591226216,,20.26121499627336,48404.0,54980.0,51316.0,
Philippines,2021-11-30,11,monthly,,,,,,45610.0,48015.0,48225.0,48736.0,52787.0,51581.0,,,,,,,,,,,,45610.0,52787.0,48674.6,
Philippines,2021-12-31,12,monthly,,,,,,47766.0,48976.0,50030.0,51444.0,51862.0,53769.0,,,,,,,,,,,,47766.0,51862.0,50015.6,
