date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Jordan,monthly,1,,,,,,,2514.228,2734.088,2654.6,2667.0,2686.0,3338.5,,932.75,9578.429,168553.0,5.705,81.48,,,,,,,11285875.0,2514.228,2734.088,2642.479,2405.75
2021-01-17,Jordan,monthly,2,,,,,,,2518.456,2738.316,2679.2,2728.75,2821.0,3287.0,,782.5,8008.143,169689.0,4.715,81.48,6818.182,,,0.06,,,11285875.0,2518.456,2738.316,2666.18,2504.5
2021-01-24,Jordan,monthly,3,,,,,,,2522.684,2742.544,2703.8,2790.5,2956.0,3235.5,,632.25,6284.428,146341.0,4.293,76.723,24334.416,,,0.216,,,11285875.0,2522.684,2790.5,2689.882,2603.25
2021-01-31,Jordan,monthly,4,,,,,,,2526.912,2746.772,2728.4,2852.25,3091.0,3184.0,,482.0,5991.571,147901.0,4.051,75.93,36250.0,,,0.321,,,11285875.0,2526.912,2852.25,2713.584,2702.0
2021-02-07,Jordan,monthly,5,,,,,,2840.0,2531.14,2751.0,2753.0,2914.0,3226.0,3098.0,,457.75,7587.999,155998.0,4.861,62.699,41818.182,,,0.371,,,11285875.0,2531.14,2914.0,2757.828,2640.25
2021-02-14,Jordan,monthly,6,,,,,,2697.5,2535.368,2656.0,2625.75,2755.0,3042.0,3012.0,,433.5,10205.858,171115.0,5.952,57.41,45000.0,,,0.399,,,11285875.0,2535.368,2755.0,2653.924,2578.5
2021-02-21,Jordan,monthly,7,,,,,,2555.0,2539.596,2561.0,2498.5,2596.0,2858.0,2926.0,,409.25,14548.999,178125.0,8.208,57.41,48181.818,,,0.427,,,11285875.0,2498.5,2596.0,2550.019,2516.75
2021-02-28,Jordan,monthly,8,,,,,,2412.5,2543.825,2466.0,2371.25,2437.0,2674.0,2840.0,,385.0,23445.857,196602.0,11.896,62.167,65110.286,32625.571,,0.577,0.289,,11285875.0,2371.25,2543.825,2446.115,2455.0
2021-03-07,Jordan,monthly,9,,,,,,2270.0,2548.053,2371.0,2244.0,2278.0,2490.0,3368.4,,739.4,32653.001,249170.0,13.084,62.96,100367.619,38751.905,,0.889,0.343,,11285875.0,2244.0,2548.053,2342.211,2629.0
2021-03-14,Jordan,monthly,10,,,,,,2301.2,2552.281,2366.0,2313.5,2242.75,2489.2,3896.8,,1093.8,43824.285,292134.0,14.972,76.983,135624.952,44878.238,,1.202,0.398,,11285875.0,2242.75,2552.281,2355.146,2803.0
2021-03-21,Jordan,monthly,11,,,,,,2332.4,2556.509,2361.0,2383.0,2207.5,2488.4,4425.2,,1448.2,55744.429,308263.0,18.102,81.48,189317.286,55461.357,,1.677,0.491,,11285875.0,2207.5,2556.509,2368.082,2977.0
2021-03-28,Jordan,monthly,12,,,,,,2363.6,2560.737,2356.0,2452.5,2172.25,2487.6,4953.6,,1802.6,56761.001,300554.0,18.885,81.48,258005.952,76554.952,,2.286,0.678,,11285875.0,2172.25,2560.737,2381.017,3151.0
2021-04-04,Jordan,monthly,13,,,,,,2394.8,2564.965,2351.0,2522.0,2137.0,2486.8,5482.0,,2157.0,47533.285,299772.0,15.848,78.309,330442.869,107531.548,,2.928,0.953,,11285875.0,2137.0,2564.965,2393.953,3325.0
2021-04-11,Jordan,monthly,14,,,,,,2426.0,2569.193,2285.25,2452.0,2106.2,2486.0,5283.5,,2112.25,37699.43,272384.0,13.821,75.136,427757.291,119310.173,,3.79,1.057,,11285875.0,2106.2,2569.193,2367.729,3171.25
2021-04-18,Jordan,monthly,15,,,,,,2419.5,2573.421,2219.5,2382.0,2075.4,2385.5,5085.0,,2067.5,24228.858,191741.0,12.646,70.37,553002.245,122703.041,,4.9,1.087,,11285875.0,2075.4,2573.421,2333.964,3017.5
2021-04-25,Jordan,monthly,16,,,,,,2413.0,2577.649,2153.75,2312.0,2044.6,2285.0,4886.5,,2022.75,18324.143,140725.0,13.007,70.37,634965.1,153447.9,,5.626,1.36,,11285875.0,2044.6,2577.649,2300.2,2863.75
2021-05-02,Jordan,monthly,17,,,,,,2406.5,2581.877,2088.0,2242.0,2013.8,2184.5,4688.0,,1978.0,12721.001,122700.0,10.345,70.37,709565.457,223589.286,,6.287,1.981,,11285875.0,2013.8,2581.877,2266.435,2710.0
2021-05-09,Jordan,monthly,18,,,,,,2400.0,2586.105,2086.8,2172.0,1983.0,2084.0,4376.4,,1707.6,8071.286,111960.0,7.201,70.37,837171.861,299328.967,,7.418,2.652,,11285875.0,1983.0,2586.105,2245.581,2668.8
2021-05-16,Jordan,monthly,19,,,,,,2344.75,2590.333,2085.6,2168.25,2014.25,2150.5,4064.8,,1437.2,5041.857,106200.0,4.711,51.454,952740.857,349744.143,,8.442,3.099,,11285875.0,2014.25,2590.333,2240.637,2627.6
2021-05-23,Jordan,monthly,20,,,,,,2289.5,2594.561,2084.4,2164.5,2045.5,2217.0,3753.2,,1166.8,3818.573,151193.0,2.651,37.96,1103496.796,401503.311,,9.778,3.558,,11285875.0,2045.5,2594.561,2235.692,2586.4
