location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,stringency_index,people_vaccinated,people_fully_vaccinated,population,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Netherlands,2020-01-05,1,weekly,2767.0,2918.0,2942.0,2947.0,2770.0,3259.0,3175.0,3570.0,3344.0,3061.0,3103.0,4142.0,,,,,,,,2767.0,3570.0,3075.3,
Netherlands,2020-01-12,2,weekly,2832.0,2819.0,2778.0,3036.0,2820.0,3430.0,3077.0,3637.0,3363.0,3261.0,3365.0,3849.0,,,,,,,,2778.0,3637.0,3105.3,
Netherlands,2020-01-19,3,weekly,2848.0,2626.0,2790.0,3012.0,2742.0,3378.0,3063.0,3491.0,3365.0,3153.0,3158.0,3858.0,,,,,,,,2626.0,3491.0,3046.8,
Netherlands,2020-01-26,4,weekly,2863.0,2619.0,2793.0,3083.0,2711.0,3353.0,3201.0,3627.0,3323.0,3180.0,3046.0,3713.0,,,,,,,,2619.0,3627.0,3075.3,
Netherlands,2020-02-02,5,weekly,2861.0,2728.0,2820.0,3192.0,2707.0,3324.0,3105.0,3574.0,3405.0,3144.0,3163.0,3651.0,,,,,,,,2707.0,3574.0,3086.0,
Netherlands,2020-02-09,6,weekly,2831.0,2677.0,3036.0,3143.0,2858.0,3271.0,3036.0,3446.0,3514.0,3186.0,3194.0,3548.0,,,,,,,,2677.0,3514.0,3099.8,
Netherlands,2020-02-16,7,weekly,2900.0,2622.0,3091.0,3037.0,2797.0,3309.0,3030.0,3418.0,3661.0,3253.0,3199.0,3524.0,,,,,,,,2622.0,3661.0,3111.8,
Netherlands,2020-02-23,8,weekly,2930.0,2651.0,3036.0,3212.0,2754.0,3383.0,3319.0,3328.0,3692.0,3223.0,2959.0,3204.0,,,,,,,,2651.0,3692.0,3152.8,
Netherlands,2020-03-01,9,weekly,2756.0,2689.0,3066.0,3171.0,2713.0,3210.0,3185.0,3152.0,3936.0,3066.0,3098.0,3102.0,0.0,5.56,,,17134873.0,,,2689.0,3936.0,3094.4,3098.0
Netherlands,2020-03-08,10,weekly,2760.0,2716.0,2951.0,3295.0,2763.0,3222.0,3154.0,3053.0,4096.0,3173.0,3106.0,3241.0,3.0,7.938571428571428,,,17134873.0,,,2716.0,4096.0,3118.3,3103.0
