location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Iceland,2020-01-05,1,weekly,39.0,53.0,57.0,37.0,53.0,49.0,44.0,35.0,62.0,39.0,57.0,,,35.0,62.0,46.8,
Iceland,2020-01-12,2,weekly,39.0,44.0,42.0,54.0,40.0,42.0,56.0,53.0,47.0,41.0,55.0,,,39.0,56.0,45.8,
Iceland,2020-01-19,3,weekly,42.0,43.0,43.0,32.0,46.0,44.0,51.0,46.0,41.0,40.0,52.0,,,32.0,51.0,42.8,
Iceland,2020-01-26,4,weekly,42.0,40.0,46.0,37.0,32.0,48.0,35.0,53.0,50.0,37.0,55.0,,,32.0,53.0,42.0,
Iceland,2020-02-02,5,weekly,29.0,44.0,37.0,48.0,47.0,44.0,46.0,48.0,47.0,43.0,39.0,,,29.0,48.0,43.3,
Iceland,2020-02-09,6,weekly,39.0,46.0,47.0,51.0,40.0,57.0,45.0,55.0,46.0,36.0,47.0,,0.0,36.0,57.0,46.2,47.0
Iceland,2020-02-16,7,weekly,41.0,43.0,40.0,45.0,36.0,50.0,39.0,56.0,44.0,47.0,49.0,,0.0,36.0,56.0,44.1,49.0
Iceland,2020-02-23,8,weekly,30.0,48.0,47.0,41.0,43.0,47.0,40.0,46.0,57.0,41.0,48.0,,0.0,30.0,57.0,44.0,48.0
Iceland,2020-03-01,9,weekly,36.0,37.0,52.0,45.0,50.0,47.0,39.0,35.0,50.0,47.0,43.0,,0.0,35.0,52.0,43.8,43.0
Iceland,2020-03-08,10,weekly,39.0,32.0,34.0,41.0,41.0,41.0,51.0,40.0,43.0,47.0,49.0,,0.0,32.0,51.0,40.9,49.0
Iceland,2020-03-15,11,weekly,31.0,41.0,37.0,38.0,45.0,46.0,44.0,42.0,37.0,57.0,42.0,,0.0,31.0,57.0,41.8,42.0
Iceland,2020-03-22,12,weekly,30.0,34.0,37.0,49.0,38.0,45.0,42.0,48.0,36.0,37.0,39.0,,1.0,30.0,49.0,39.6,38.0
Iceland,2020-03-29,13,weekly,50.0,39.0,50.0,37.0,36.0,42.0,43.0,48.0,55.0,48.0,42.0,,1.0,36.0,55.0,44.8,41.0
Iceland,2020-04-05,14,weekly,55.0,49.0,36.0,42.0,36.0,41.0,48.0,35.0,55.0,38.0,50.0,,2.0,35.0,55.0,43.5,48.0
Iceland,2020-04-12,15,weekly,40.0,33.0,21.0,40.0,32.0,39.0,47.0,43.0,51.0,42.0,49.0,,4.0,21.0,51.0,38.8,45.0
Iceland,2020-04-19,16,weekly,37.0,27.0,40.0,37.0,35.0,47.0,53.0,51.0,45.0,47.0,60.0,,1.0,27.0,53.0,41.9,59.0
Iceland,2020-04-26,17,weekly,40.0,33.0,35.0,39.0,34.0,41.0,49.0,38.0,41.0,53.0,35.0,,1.0,33.0,53.0,40.3,34.0
