location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,stringency_index,people_vaccinated,people_fully_vaccinated,population,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Armenia,2021-01-31,1,monthly,,,,,,2582.0,2722.0,3027.0,2534.0,2773.0,2567.0,3089.0,257.0,,,,2963234.0,,,2534.0,3027.0,2727.6,2832.0
Armenia,2021-02-28,2,monthly,,,,,,2363.0,2576.0,2442.0,2273.0,2247.0,2434.0,2418.0,112.0,,,,2963234.0,,,2247.0,2576.0,2380.2,2306.0
Armenia,2021-03-31,3,monthly,,,,,,2763.0,2349.0,2568.0,2215.0,2353.0,2288.0,2836.0,323.0,,565.0,,2963234.0,0.01906700584564027,,2215.0,2763.0,2449.6,2513.0
Armenia,2021-04-30,4,monthly,,,,,,2442.0,2243.0,2246.0,1968.0,2203.0,2156.0,3361.0,593.0,,565.0,,2963234.0,0.01906700584564027,,1968.0,2442.0,2220.4,2768.0
Armenia,2021-05-31,5,monthly,,,,,,2197.0,2247.0,2323.0,2220.0,2285.0,2103.0,2633.0,330.0,,15075.612903225807,,2963234.0,0.5087553970839227,,2197.0,2323.0,2254.4,2303.0
Armenia,2021-06-30,6,monthly,,,,,,2288.0,2169.0,2103.0,1902.0,1929.0,2869.0,,76.0,,47344.066666666666,13388.363636363636,2963234.0,1.5977160989198511,0.4518159428638992,1902.0,2288.0,2078.2,
Armenia,2021-07-31,7,monthly,,,,,,2176.0,2103.0,2063.0,2347.0,2069.0,2719.0,,58.0,,70550.15,24306.3,2963234.0,2.3808497742668986,0.8202625914794444,2063.0,2347.0,2151.6,
Armenia,2021-08-31,8,monthly,,,,,,2149.0,2127.0,2174.0,1972.0,1994.0,2106.0,,,,,,,,,1972.0,2174.0,2083.2,
Armenia,2021-09-30,9,monthly,,,,,,1949.0,1891.0,1712.0,1704.0,1802.0,2042.0,,,,,,,,,1704.0,1949.0,1811.6,
Armenia,2021-10-31,10,monthly,,,,,,2101.0,2233.0,2142.0,2086.0,2014.0,3632.0,,,,,,,,,2014.0,2233.0,2115.2,
Armenia,2021-11-30,11,monthly,,,,,,2349.0,2476.0,2263.0,2317.0,2179.0,6060.0,,,,,,,,,2179.0,2476.0,2316.8,
Armenia,2021-12-31,12,monthly,,,,,,2485.0,2993.0,2304.0,2107.0,2404.0,4395.0,,,,,,,,,2107.0,2993.0,2458.6,
