date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Slovenia,weekly,1,364.0,384.0,357.0,402.0,402.0,408.0,451.0,479.0,401.0,469.0,420.0,603.0,,195.0,12431.715,31082.0,39.94914677466283,81.48,24328.428571428572,2.142857142857143,,1.1703545191653035,0.0001030852664283381,,2078723.0,357.0,479.0,411.7,408.0
2021-01-17,Slovenia,weekly,2,321.0,433.0,401.0,410.0,398.0,407.0,439.0,536.0,411.0,488.0,426.0,624.0,,182.0,11460.429,31846.0,35.896905201321964,81.48,42090.28571428572,68.57142857142857,,2.024814547887608,0.0032987285257068196,,2078723.0,321.0,536.0,424.4,442.0
2021-01-24,Slovenia,weekly,3,337.0,409.0,358.0,426.0,360.0,453.0,411.0,586.0,398.0,481.0,430.0,590.0,,180.0,9063.572,29128.0,31.105398513713606,79.89428571428572,52223.142857142855,7033.714285714285,,2.5122704110717424,0.33836707852437703,,2078723.0,337.0,586.0,421.9,410.0
2021-01-31,Slovenia,weekly,4,376.0,409.0,407.0,438.0,349.0,449.0,457.0,569.0,425.0,477.0,455.0,528.0,,143.0,8733.713,27585.0,31.662999695732697,75.92999999999999,54850.71428571428,20953.85714285714,,2.638673564766171,1.0080158415939564,,2078723.0,349.0,569.0,435.6,385.0
2021-02-07,Slovenia,weekly,5,395.0,395.0,391.0,446.0,403.0,432.0,434.0,599.0,457.0,515.0,476.0,526.0,,120.0,8033.713,28546.0,28.198922649389356,75.92999999999999,56167.57142857143,38166.42857142857,,2.702022897161932,1.8360516803551301,,2078723.0,391.0,599.0,446.7,406.0
2021-02-14,Slovenia,weekly,6,352.0,374.0,439.0,406.0,390.0,420.0,426.0,523.0,419.0,507.0,449.0,434.0,,94.0,6013.143,25727.0,23.362362938556878,71.16428571428573,66094.28571428571,48502.57142857143,,3.1795619577156606,2.3332868991477667,,2078723.0,352.0,523.0,425.6,340.0
2021-02-21,Slovenia,weekly,7,374.0,411.0,459.0,428.0,388.0,459.0,421.0,466.0,490.0,474.0,502.0,427.0,,59.0,5549.715,27186.0,20.398606302053622,61.11,86909.0,51931.28571428572,,4.1808841293428705,2.4982301977842027,,2078723.0,374.0,490.0,437.0,368.0
2021-02-28,Slovenia,weekly,8,444.0,388.0,454.0,450.0,419.0,446.0,406.0,459.0,476.0,480.0,441.0,470.0,,60.0,5310.857,26906.0,19.746712301730714,63.49,113579.42857142857,53311.57142857143,,5.463903972363253,2.5646308540662432,,2078723.0,388.0,480.0,442.2,410.0
2021-03-07,Slovenia,weekly,9,370.0,372.0,443.0,462.0,451.0,449.0,427.0,439.0,512.0,471.0,431.0,442.0,,55.0,5366.999,30281.0,17.749905659572683,69.44,139102.57142857142,59739.142857142855,,6.691731963737902,2.873838546893591,,2078723.0,370.0,512.0,439.6,387.0
2021-03-14,Slovenia,weekly,10,373.0,405.0,443.0,430.0,397.0,384.0,416.0,369.0,465.0,411.0,425.0,442.0,,43.0,5041.286,31620.0,15.940334004729184,69.44,164845.2857142857,77507.14285714286,,7.930122758745909,3.7285940867129894,,2078723.0,369.0,465.0,409.3,399.0
2021-03-21,Slovenia,weekly,11,357.0,378.0,459.0,424.0,403.0,453.0,411.0,397.0,479.0,457.0,437.0,441.0,,38.0,5324.428,31735.0,16.77413454115141,69.44,184183.2857142857,98840.57142857143,,8.860405437101804,4.754869765166952,,2078723.0,357.0,479.0,421.8,403.0
2021-03-28,Slovenia,weekly,12,358.0,377.0,460.0,405.0,424.0,417.0,388.0,418.0,443.0,426.0,443.0,421.0,,46.0,6178.429,35150.0,17.577304589714895,69.44,214363.2857142857,111697.28571428571,,10.312258329478516,5.373360746683695,,2078723.0,358.0,460.0,411.6,375.0
2021-04-04,Slovenia,weekly,13,349.0,360.0,424.0,380.0,369.0,460.0,441.0,413.0,431.0,381.0,390.0,438.0,,57.0,7109.714,35666.0,20.024556681563233,78.43999999999998,268398.5714285714,118986.85714285714,,12.911704514193158,5.724036206019616,,2078723.0,349.0,460.0,400.8,381.0
2021-04-11,Slovenia,weekly,14,354.0,348.0,391.0,407.0,408.0,444.0,373.0,357.0,421.0,412.0,383.0,405.0,,44.0,6621.429,27358.0,24.191192612621204,82.53999999999999,315647.5714285714,123278.57142857143,,15.184686532480345,5.930495377622291,,2078723.0,348.0,444.0,391.5,361.0
2021-04-18,Slovenia,weekly,15,385.0,343.0,369.0,401.0,374.0,423.0,339.0,348.0,390.0,344.0,424.0,421.0,,40.0,6368.285,28162.0,22.57873508151059,74.07000000000001,362412.14285714284,137591.42857142858,,17.434364408203635,6.619036233852638,,2078723.0,339.0,423.0,371.6,381.0
2021-04-25,Slovenia,weekly,16,359.0,373.0,365.0,404.0,364.0,420.0,399.0,385.0,390.0,402.0,433.0,457.0,,49.0,5059.572,26533.0,19.11117559374116,63.36142857142857,399330.28571428574,167067.42857142858,,19.21036548468871,8.037022180032094,,2078723.0,359.0,420.0,386.1,408.0
2021-05-02,Slovenia,weekly,17,408.0,362.0,346.0,369.0,327.0,388.0,351.0,371.0,400.0,388.0,392.0,382.0,,55.0,4671.858,23521.0,19.968673881676267,55.691428571428574,424004.5714285714,198862.7142857143,,20.397357965855548,9.566580746242492,,2078723.0,327.0,408.0,371.0,327.0
2021-05-09,Slovenia,weekly,18,348.0,370.0,379.0,328.0,330.0,387.0,367.0,355.0,345.0,367.0,356.0,389.0,,30.0,4813.429,24348.0,19.806691164877105,55.56,468084.85714285716,244188.85714285713,,22.517904364499607,11.747060918787984,,2078723.0,328.0,387.0,357.6,359.0
2021-05-16,Slovenia,weekly,19,348.0,353.0,369.0,354.0,302.0,362.0,358.0,358.0,367.0,358.0,381.0,401.0,,31.0,3618.0,24964.0,14.500021634682621,54.76571428571429,533849.1428571428,279378.0,,25.681591191185305,13.439885929967582,,2078723.0,302.0,369.0,352.9,370.0
2021-05-23,Slovenia,weekly,20,346.0,317.0,309.0,324.0,321.0,327.0,346.0,360.0,348.0,393.0,354.0,407.0,,29.0,2811.857,24853.0,11.29674607234135,52.78000000000001,608227.0,322199.71428571426,,29.25964642715744,15.499886915462728,,2078723.0,309.0,393.0,339.1,378.0
2021-05-30,Slovenia,weekly,21,329.0,328.0,334.0,338.0,358.0,318.0,355.0,347.0,353.0,395.0,405.0,390.0,,21.0,2070.143,23001.0,8.99465164011993,37.702857142857134,656257.1428571428,384460.28571428574,,31.570206461233308,18.495022459187,,2078723.0,318.0,395.0,345.5,369.0
2021-06-06,Slovenia,weekly,22,362.0,353.0,307.0,310.0,340.0,333.0,334.0,371.0,366.0,344.0,330.0,411.0,,14.0,1853.5729999999999,22299.0,8.314641175148141,35.19,706712.1428571428,459187.14285714284,,33.99741778279948,22.089866848884764,,2078723.0,307.0,371.0,342.0,397.0
2021-06-13,Slovenia,weekly,23,385.0,308.0,307.0,344.0,346.0,364.0,347.0,348.0,360.0,313.0,345.0,386.0,,16.0,1381.284,19604.0,7.00049406729284,35.19,765293.0,533835.7142857143,,36.81553530701301,25.68094519018235,,2078723.0,307.0,385.0,342.2,370.0
2021-06-20,Slovenia,weekly,24,331.0,334.0,333.0,351.0,376.0,325.0,348.0,342.0,338.0,345.0,377.0,395.0,,8.0,747.001,14996.0,4.932892201611858,35.19,806169.2857142857,590799.7142857143,,38.78194861529341,28.421281444700153,,2078723.0,325.0,376.0,342.3,387.0
2021-06-27,Slovenia,weekly,25,315.0,320.0,373.0,428.0,315.0,323.0,335.0,348.0,354.0,367.0,374.0,379.0,,7.0,382.28700000000003,12353.0,3.054159562320532,35.19,827252.2857142857,644220.7142857143,,39.79617706227746,30.991176519705334,,2078723.0,315.0,428.0,347.8,372.0
2021-07-04,Slovenia,weekly,26,371.0,338.0,337.0,352.0,313.0,310.0,334.0,334.0,317.0,331.0,408.0,379.0,,0.0,204.428,10074.0,2.0262403982017907,35.19,841213.5714285715,698917.8571428572,2.5,40.46780506246245,33.62246230704414,0.00012026614416639446,2078723.0,310.0,371.0,333.7,379.0
2021-07-11,Slovenia,weekly,27,351.0,318.0,407.0,325.0,346.0,384.0,347.0,369.0,322.0,349.0,371.0,341.0,,4.0,290.0,10189.0,2.8395033205462163,35.19,858623.0,746291.8571428572,17.285714285714285,41.30531100103285,35.901457632539646,0.0008315544825219274,2078723.0,318.0,407.0,351.8,337.0
2021-07-18,Slovenia,weekly,28,379.0,351.0,335.0,364.0,366.0,377.0,370.0,328.0,318.0,327.0,328.0,333.0,,2.0,407.999,10099.0,4.041296032271728,27.252857142857142,883391.0,780463.8571428572,38.57142857142857,42.49681174451815,37.54535150392126,0.001855534795710086,2078723.0,318.0,379.0,351.5,331.0
2021-07-25,Slovenia,weekly,29,340.0,338.0,324.0,333.0,357.0,381.0,312.0,354.0,374.0,351.0,352.0,327.0,,3.0,401.572,9894.0,4.063730362935729,25.93,910543.1428571428,806891.0,47.142857142857146,43.80300515543162,38.81666773302648,0.0022678758614234386,2078723.0,312.0,381.0,346.4,324.0
2021-08-01,Slovenia,weekly,30,314.0,301.0,314.0,346.0,338.0,393.0,342.0,328.0,364.0,407.0,369.0,369.0,,1.0,528.857,9545.0,5.545683260876935,25.93,936352.2857142857,830180.5714285715,62.714285714285715,45.044591593698904,39.93704651502732,0.0030169621308026957,2078723.0,301.0,407.0,344.7,368.0
2021-08-08,Slovenia,weekly,31,323.0,335.0,315.0,345.0,323.0,332.0,319.0,347.0,399.0,364.0,393.0,330.0,,4.0,770.0,9735.0,7.905397364478101,27.515714285714285,957495.2857142857,853575.8571428572,80.71428571428571,46.06170642814294,41.06251083683863,0.0038828783688007354,2078723.0,315.0,399.0,340.2,326.0
2021-08-15,Slovenia,weekly,32,335.0,319.0,350.0,358.0,335.0,333.0,326.0,319.0,390.0,380.0,370.0,351.0,,0.0,1086.427,10574.0,10.229520095076122,29.63,974590.5714285715,875455.8571428572,93.85714285714286,46.88410006665493,42.11508013058292,0.004515134669561209,2078723.0,319.0,390.0,344.5,351.0
2021-08-22,Slovenia,weekly,33,294.0,373.0,316.0,315.0,331.0,373.0,355.0,354.0,337.0,345.0,392.0,325.0,,7.0,1708.429,12425.0,13.672726071039241,34.395714285714284,992800.0,898230.0,121.71428571428571,47.76009117135857,43.2106634698322,0.005855243133129605,2078723.0,294.0,373.0,339.3,318.0
2021-08-29,Slovenia,weekly,34,312.0,362.0,318.0,336.0,310.0,337.0,343.0,350.0,381.0,385.0,353.0,327.0,,8.0,2609.857,15417.0,16.883898542149748,35.19,1011681.2857142857,919220.7142857143,171.71428571428572,48.66840294326304,44.22045237800872,0.008260566016457494,2078723.0,310.0,385.0,343.4,319.0
2021-09-05,Slovenia,weekly,35,328.0,343.0,334.0,311.0,338.0,337.0,373.0,380.0,365.0,340.0,341.0,394.0,,7.0,3418.142,18976.0,17.987406941989367,38.36142857142857,1029052.8571428572,937194.7142857143,264.42857142857144,49.50408770879319,45.08511784810743,0.012720721877256924,2078723.0,311.0,380.0,344.9,387.0
2021-09-12,Slovenia,weekly,36,344.0,332.0,317.0,319.0,304.0,315.0,332.0,339.0,358.0,333.0,370.0,415.0,,14.0,4902.714,25803.0,18.937700280557333,35.71857142857142,1050544.2857142857,956490.1428571428,1821.7142857142858,50.53796420755847,46.01335256583695,0.08763622116627785,2078723.0,304.0,358.0,329.3,401.0
2021-09-19,Slovenia,weekly,37,349.0,352.0,327.0,346.0,359.0,309.0,363.0,340.0,391.0,388.0,393.0,403.0,,29.0,6836.428,34507.0,19.797862194396846,35.19,1101196.2857142857,985681.0,7313.857142857143,52.97465250128496,47.41762129923035,0.3518437590221084,2078723.0,309.0,391.0,352.4,374.0
2021-09-26,Slovenia,weekly,38,386.0,330.0,342.0,351.0,335.0,360.0,358.0,364.0,382.0,342.0,421.0,420.0,,39.0,6762.286,33760.0,20.017081194852892,35.19,1145005.5714285714,1011506.2857142857,15341.57142857143,55.08216204990138,48.659984313171385,0.738028656467044,2078723.0,330.0,386.0,355.0,381.0
2021-10-03,Slovenia,weekly,39,351.0,315.0,357.0,371.0,363.0,315.0,355.0,374.0,342.0,366.0,354.0,429.0,,37.0,6094.142,31313.0,19.465483547885267,35.19,1164267.5714285714,1032729.8571428572,21684.285714285714,56.00878863747461,49.68097515363313,1.0431541727438294,2078723.0,315.0,374.0,350.9,392.0
2021-10-10,Slovenia,weekly,40,328.0,353.0,362.0,332.0,383.0,341.0,369.0,398.0,390.0,379.0,412.0,411.0,,39.0,5858.0,29776.0,19.671099438968156,35.19,1172206.5714285714,1062037.857142857,25920.85714285714,56.39070580488942,51.0908792149246,1.246960616823749,2078723.0,328.0,398.0,363.5,372.0
2021-10-17,Slovenia,weekly,41,362.0,348.0,382.0,369.0,363.0,391.0,390.0,370.0,371.0,387.0,415.0,451.0,,25.0,5953.287,28916.0,20.565299721775396,42.33,1177448.5714285714,1091088.857142857,30271.571428571428,56.64287985597751,52.488419916595774,1.4562580694287515,2078723.0,348.0,391.0,373.3,426.0
2021-10-24,Slovenia,weekly,42,389.0,375.0,355.0,366.0,368.0,354.0,375.0,376.0,371.0,383.0,441.0,469.0,,45.0,9252.286,35635.0,25.755438025667758,43.52,1181868.2857142857,1105972.5714285714,36424.142857142855,56.85549665416151,53.20442268780263,1.752236486397796,2078723.0,354.0,389.0,371.2,424.0
2021-10-31,Slovenia,weekly,43,384.0,348.0,376.0,341.0,374.0,382.0,395.0,350.0,417.0,369.0,514.0,461.0,,62.0,14282.57,42252.0,33.77697154899664,38.75642857142857,1187118.7142857143,1114708.857142857,45644.57142857143,57.10807617396422,53.62469444667987,2.1957986431367447,2078723.0,341.0,417.0,373.6,399.0
2021-11-07,Slovenia,weekly,44,355.0,381.0,373.0,345.0,374.0,408.0,341.0,385.0,393.0,333.0,595.0,545.0,,85.0,17616.857,44012.0,40.00649274346267,37.69857142857143,1193178.2857142857,1120565.857142857,70902.71428571429,57.39958069037027,53.90645396923289,3.4108784232297564,2078723.0,333.0,408.0,368.8,460.0
2021-11-14,Slovenia,weekly,45,333.0,361.0,375.0,326.0,362.0,379.0,374.0,380.0,348.0,385.0,624.0,580.0,,111.0,22108.287,54601.0,40.4855217765179,53.7,1204385.2857142857,1127298.4285714286,140629.7142857143,57.93870976143939,54.23033413164854,6.7651973969458306,2078723.0,326.0,385.0,362.3,469.0
2021-11-21,Slovenia,weekly,46,341.0,356.0,362.0,340.0,367.0,376.0,381.0,393.0,392.0,404.0,739.0,582.0,,122.0,22863.857,52862.0,43.273229076445155,52.114285714285714,1217569.5714285714,1134512.4285714286,214244.85714285713,58.57295904401748,54.57737411725509,10.306561150420578,2078723.0,340.0,404.0,371.2,460.0
2021-11-28,Slovenia,weekly,47,361.0,367.0,341.0,338.0,338.0,358.0,366.0,391.0,384.0,362.0,731.0,537.0,,125.0,19529.858,45558.0,42.78388476198681,56.08428571428571,1227237.0,1142059.0,268805.85714285716,59.03802478733338,54.940412936211324,12.931297587165636,2078723.0,338.0,391.0,360.6,412.0
2021-12-05,Slovenia,weekly,48,369.0,354.0,351.0,366.0,356.0,378.0,357.0,362.0,406.0,359.0,792.0,586.0,,115.0,14197.571,37340.0,37.953766856297065,61.642857142857146,1233545.142857143,1152589.5714285714,310322.4285714286,59.34148719464512,55.44700142484455,14.928512773054832,2078723.0,351.0,406.0,365.8,471.0
2021-12-12,Slovenia,weekly,49,335.0,380.0,364.0,357.0,387.0,370.0,394.0,399.0,407.0,436.0,801.0,518.0,,105.0,11097.428,33346.0,33.23597161976751,62.04,1237686.142857143,1164877.142857143,340342.14285714284,59.54069603584234,56.038112959597925,16.372654887502705,2078723.0,335.0,436.0,382.9,413.0
2021-12-19,Slovenia,weekly,50,406.0,358.0,364.0,373.0,344.0,433.0,347.0,390.0,422.0,444.0,784.0,489.0,,88.0,9065.143,30148.0,30.05402099263474,62.04,1241006.2857142857,1174857.857142857,369219.5714285714,59.7004163476464,56.51824976886565,17.76184568259318,2078723.0,344.0,444.0,388.1,401.0
2021-12-26,Slovenia,weekly,51,421.0,368.0,385.0,357.0,383.0,359.0,413.0,397.0,427.0,437.0,717.0,,,47.0,7958.427,28765.0,27.661722311530166,60.05428571428571,1246834.4285714286,1183769.5714285714,431505.71428571426,59.9807876552782,56.94696077488783,20.758211377163494,2078723.0,357.0,437.0,394.7,
2022-01-02,Slovenia,weekly,52,354.0,408.0,379.0,423.0,407.0,347.0,466.0,422.0,421.0,396.0,686.0,,,60.0,9081.57,29682.0,30.570339192800564,59.26,1249980.0,1188639.5714285714,462527.5714285714,60.132109954043905,57.181239223723956,22.250563034544353,2078723.0,347.0,466.0,402.3,
2022-01-09,Slovenia,weekly,1,384.0,357.0,402.0,402.0,408.0,399.0,479.0,401.0,469.0,420.0,659.0,,,52.0,17048.143,48106.0,35.13585944660665,41.67,1252795.857142857,1193297.4285714286,492906.71428571426,60.26757086648183,57.40531223118369,23.711995984347805,2078723.0,357.0,479.0,412.1,
