location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Panama,2021-01-31,1,monthly,,,,,,1602.0,1619.0,1710.0,1586.0,1807.0,2032.0,3147.0,1248.0,2617.63135483871,12445.774193548386,75.95322580645157,6511.916666666667,,4314768.0,21.032290270826483,0.15092159454845933,,1586.0,1807.0,1664.8,1899.0
Panama,2021-02-28,2,monthly,,,,,,1377.0,1438.0,1501.0,1412.0,1522.0,1531.0,3028.0,575.0,805.26525,8296.57142857143,74.06999999999995,34547.142857142855,4147.727272727273,4314768.0,9.706000327157517,0.8006720838094389,0.09612862783647401,1377.0,1522.0,1450.0,2453.0
Panama,2021-03-31,3,monthly,,,,,,1557.0,1587.0,1627.0,1589.0,1534.0,1287.0,2437.0,269.0,472.60364516129033,7907.290322580645,75.23645161290318,216356.93548387097,37378.032258064515,4314768.0,5.976809069621338,5.01433531267199,0.8662813912141862,1534.0,1627.0,1578.8,2168.0
Panama,2021-04-30,4,monthly,,,,,,1424.0,1546.0,1485.0,1657.0,1704.0,69.0,1872.0,118.0,325.60949999999997,7997.833333333333,67.408,364303.6666666667,162339.56666666668,4314768.0,4.07122137245504,8.443180877086942,3.7624170445935143,1424.0,1704.0,1563.2,1754.0
Panama,2021-05-31,5,monthly,,,,,,1421.0,1555.0,1545.0,1573.0,1692.0,2483.0,,139.0,423.4054838709677,8440.967741935483,61.97580645161286,565010.9032258064,282857.48387096776,4314768.0,5.016077502197424,13.094815369582014,6.555566460837935,1421.0,1692.0,1557.2,
Panama,2021-06-30,6,monthly,,,,,,1508.0,1624.0,1590.0,1555.0,1745.0,2284.0,,174.0,799.2951666666667,11035.133333333333,61.109999999999964,860030.2666666667,452924.9666666667,4314768.0,7.243185401777354,19.93224819194605,10.497087367540194,1508.0,1745.0,1604.4,
Panama,2021-07-31,7,monthly,,,,,,1509.0,1588.0,1690.0,1639.0,2001.0,2742.0,,278.0,1029.2580322580645,12054.161290322581,68.69838709677414,1281957.3548387096,633645.5161290322,4314768.0,8.538611749656791,29.7109219971667,14.685506060326587,1509.0,2001.0,1685.4,
Panama,2021-08-31,8,monthly,,,,,,1549.0,1559.0,1725.0,1651.0,1713.0,2668.0,,52.0,897.0286,10523.5,70.37,2108909.8,703645.2,4314768.0,8.524051883878938,48.876551415974156,16.307833932206783,1549.0,1725.0,1639.4,
Panama,2021-09-30,9,monthly,,,,,,1588.0,1577.0,1642.0,1729.0,1688.0,2401.0,,,,,,,,,,,,1577.0,1729.0,1644.8,
Panama,2021-10-31,10,monthly,,,,,,1567.0,1575.0,1653.0,1820.0,1746.0,2131.0,,,,,,,,,,,,1567.0,1820.0,1672.2,
Panama,2021-11-30,11,monthly,,,,,,1489.0,1625.0,1623.0,1735.0,1533.0,2108.0,,,,,,,,,,,,1489.0,1735.0,1601.0,
Panama,2021-12-31,12,monthly,,,,,,1591.0,1589.0,1691.0,1774.0,1647.0,2140.0,,,,,,,,,,,,1589.0,1774.0,1658.4,
