date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2020-01-05,Ecuador,weekly,1,,,,,,1327.0,1241.0,1351.0,1502.0,1540.0,1369.0,2000.0,,,,,,,,,,,,,,1241.0,1540.0,1392.2,
2020-01-12,Ecuador,weekly,2,,,,,,1234.0,1270.0,1426.0,1496.0,1534.0,1565.0,2192.0,,,,,,,,,,,,,,1234.0,1534.0,1392.0,
2020-01-19,Ecuador,weekly,3,,,,,,1305.0,1250.0,1359.0,1492.0,1499.0,1516.0,2333.0,,,,,,,,,,,,,,1250.0,1499.0,1381.0,
2020-01-26,Ecuador,weekly,4,,,,,,1176.0,1265.0,1303.0,1581.0,1528.0,1461.0,2195.0,,,,,,,,,,,,,,1176.0,1581.0,1370.6,
2020-02-02,Ecuador,weekly,5,,,,,,1184.0,1339.0,1364.0,1418.0,1478.0,1360.0,2231.0,,,,,,,,,,,,,,1184.0,1478.0,1356.6,
2020-02-09,Ecuador,weekly,6,,,,,,1208.0,1391.0,1423.0,1395.0,1529.0,1427.0,2210.0,,,,,,,,,,,,,,1208.0,1529.0,1389.2,
2020-02-16,Ecuador,weekly,7,,,,,,1301.0,1264.0,1400.0,1502.0,1475.0,1504.0,2250.0,,,,,,,,,,,,,,1264.0,1502.0,1388.4,
2020-02-23,Ecuador,weekly,8,,,,,,1272.0,1291.0,1473.0,1451.0,1441.0,1477.0,2275.0,,,,,,,,,,,,,,1272.0,1473.0,1385.6,
2020-03-01,Ecuador,weekly,9,,,,,,1238.0,1327.0,1497.0,1413.0,1467.0,1538.0,2215.0,,0.0,,,5.56,,,,17888474.0,,,,,1238.0,1497.0,1388.4,1538.0
2020-03-08,Ecuador,weekly,10,,,,,,1332.0,1470.0,1527.0,1432.0,1513.0,1439.0,2416.0,,0.0,1.619,,8.33,,,,17888474.0,,,,,1332.0,1527.0,1454.8,1439.0
2020-03-15,Ecuador,weekly,11,,,,,,1286.0,1434.0,1500.0,1399.0,1505.0,1469.0,2628.0,,2.0,1.2448571428571427,,23.014285714285712,,,,17888474.0,,,,,1286.0,1505.0,1424.8,1467.0
2020-03-22,Ecuador,weekly,12,,,,,,1231.0,1389.0,1491.0,1283.0,1480.0,1518.0,2706.0,,12.0,39.38785714285715,,88.09714285714286,,,,17888474.0,,,,,1231.0,1491.0,1374.8,1506.0
2020-03-29,Ecuador,weekly,13,,,,,,1180.0,1466.0,1477.0,1330.0,1430.0,3749.0,2847.0,,44.0,161.51028571428574,354.2,93.52,,,,17888474.0,45.59861256755668,,,,1180.0,1477.0,1376.6,3705.0
2020-04-05,Ecuador,weekly,14,,,,,,1330.0,1399.0,1441.0,1383.0,1465.0,7200.0,3040.0,,122.0,216.55114285714285,407.2857142857143,93.52,,,,17888474.0,53.16934408979306,,,,1330.0,1465.0,1403.6,7078.0
2020-04-12,Ecuador,weekly,15,,,,,,1321.0,1987.0,1411.0,1369.0,1389.0,6377.0,3132.0,,153.0,371.449,706.1428571428571,93.52,,,,17888474.0,52.60252882864658,,,,1321.0,1987.0,1495.4,6224.0
2020-04-19,Ecuador,weekly,16,,,,,,1253.0,1302.0,1454.0,1334.0,1417.0,4456.0,3258.0,,141.0,395.14285714285717,772.8571428571429,93.52,,,,17888474.0,51.12754158964879,,,,1253.0,1454.0,1352.0,4315.0
2020-04-26,Ecuador,weekly,17,,,,,,1310.0,1259.0,1321.0,1316.0,1450.0,3471.0,3082.0,,102.0,1072.6735714285714,1080.857142857143,93.52,,,,17888474.0,99.2428628072958,,,,1259.0,1450.0,1331.2,3369.0
2020-05-03,Ecuador,weekly,18,,,,,,1287.0,1363.0,1363.0,1356.0,1414.0,2818.0,2892.0,,988.0,1423.0408571428572,1626.5714285714287,93.52,,,,17888474.0,87.48714210433867,,,,1287.0,1414.0,1356.6,1830.0
