location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Lebanon,2020-01-31,1,monthly,,,,,,2291.0,2360.0,2688.0,2275.0,2654.0,2371.0,4326.0,,,,,,,,,,,2275.0,2688.0,2453.6,
Lebanon,2020-02-29,2,monthly,,,,,,2211.0,2381.0,2506.0,2179.0,2222.0,2499.0,3929.0,0.0,0.286,,10.8,,,6825442.0,,,,2179.0,2506.0,2299.8,2499.0
Lebanon,2020-03-31,3,monthly,,,,,,2502.0,2329.0,2599.0,2454.0,2400.0,2238.0,4106.0,12.0,13.11058064516129,,58.15548387096774,,,6825442.0,,,,2329.0,2599.0,2456.8,2226.0
Lebanon,2020-04-30,4,monthly,,,,,,2183.0,1987.0,2141.0,1983.0,2147.0,1823.0,3026.0,12.0,10.104700000000001,,84.69533333333334,,,6825442.0,,,,1983.0,2183.0,2088.2,1811.0
Lebanon,2020-05-31,5,monthly,,,,,,2043.0,1600.0,2282.0,2513.0,2213.0,2195.0,,3.0,14.705096774193548,,78.85483870967742,,,6825442.0,,,,1600.0,2513.0,2130.2,2192.0
Lebanon,2020-06-30,6,monthly,,,,,,1904.0,2034.0,1853.0,1893.0,1988.0,1829.0,,7.0,18.16193333333333,,74.07,,,6825442.0,,,,1853.0,2034.0,1934.4,1822.0
Lebanon,2020-07-31,7,monthly,,,,,,1850.0,1734.0,2077.0,1925.0,1986.0,1951.0,,27.0,75.32722580645162,,59.85709677419354,,,6825442.0,,,,1734.0,2077.0,1914.4,1924.0
Lebanon,2020-08-31,8,monthly,,,,,,2006.0,1867.0,2110.0,1708.0,1750.0,2139.0,,106.0,371.4609354838709,,55.37516129032259,,,6825442.0,,,,1708.0,2110.0,1888.2,2033.0
Lebanon,2020-09-30,9,monthly,,,,,,1888.0,1925.0,1512.0,1700.0,1755.0,2240.0,,200.0,688.6761333333333,,72.90066666666667,,,6825442.0,,,,1512.0,1925.0,1756.0,2040.0
Lebanon,2020-10-31,10,monthly,,,,,,2126.0,2133.0,2217.0,2415.0,1879.0,2756.0,,270.0,1282.9077741935484,,63.68032258064516,,,6825442.0,,,,1879.0,2415.0,2154.0,2486.0
Lebanon,2020-11-30,11,monthly,,,,,,1975.0,2161.0,1957.0,2035.0,1933.0,2887.0,,381.0,1589.7286,,74.20033333333335,,,6825442.0,,,,1933.0,2161.0,2012.2,2506.0
Lebanon,2020-12-31,12,monthly,,,,,,2296.0,2106.0,1905.0,2016.0,2022.0,3144.0,,450.0,1614.792548387097,,87.04,,,6825442.0,,,,1905.0,2296.0,2069.0,2694.0
