date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Austria,weekly,1,1557.0,1579.0,1574.0,1637.0,1549.0,1704.0,1634.0,2293.0,1767.0,1647.0,1614.0,1962.0,1753.0,399.0,14300.429,70377.0,33.123,82.41,43826.714,58.714,,0.485,0.001,,9043072.0,1549.0,2293.0,1694.1,1563.0
2021-01-17,Austria,weekly,2,1582.0,1671.0,1563.0,1659.0,1543.0,1768.0,1626.0,2340.0,1842.0,1709.0,1702.0,1959.0,1678.0,359.0,13934.429,2970682.0,2.022,82.41,105215.286,605.898,1.429,1.163,0.007,0.0,9043072.0,1543.0,2340.0,1730.3,1600.0
2021-01-24,Austria,weekly,3,1573.0,1513.0,1586.0,1612.0,1578.0,1837.0,1608.0,2060.0,1786.0,1641.0,1797.0,2009.0,1815.0,336.0,11598.857,1552707.0,0.887,82.41,193288.857,5166.245,3.571,2.137,0.057,0.0,9043072.0,1513.0,2060.0,1679.4,1673.0
2021-01-31,Austria,weekly,4,1573.0,1560.0,1595.0,1584.0,1463.0,1792.0,1578.0,1938.0,1714.0,1713.0,1779.0,1950.0,1761.0,303.0,10262.858,712193.0,1.558,82.41,236825.878,23921.122,7.429,2.619,0.265,0.0,9043072.0,1463.0,1938.0,1651.0,1647.0
2021-02-07,Austria,weekly,5,1544.0,1521.0,1545.0,1752.0,1574.0,1837.0,1609.0,2045.0,1870.0,1732.0,1947.0,1868.0,1786.0,291.0,9529.857,771405.0,1.253,82.41,258773.918,91469.653,21.082,2.862,1.011,0.0,9043072.0,1521.0,2045.0,1702.9,1577.0
2021-02-14,Austria,weekly,6,1551.0,1598.0,1760.0,1748.0,1677.0,1926.0,1650.0,1874.0,1938.0,1796.0,1682.0,1759.0,1839.0,199.0,9490.143,1310297.0,0.739,76.453,287694.49,175269.551,31.959,3.181,1.938,0.0,9043072.0,1551.0,1938.0,1751.8,1560.0
2021-02-21,Austria,weekly,7,1598.0,1622.0,1895.0,1815.0,1671.0,1992.0,1621.0,1750.0,1881.0,1820.0,1721.0,1722.0,1904.0,175.0,10683.572,1488591.0,0.717,75.93,346942.041,223929.571,43.531,3.837,2.476,0.0,9043072.0,1598.0,1992.0,1766.5,1547.0
2021-02-28,Austria,weekly,8,1647.0,1586.0,1796.0,1711.0,1600.0,2020.0,1581.0,1807.0,1951.0,1751.0,1719.0,1669.0,1830.0,175.0,12948.571,1536109.0,0.842,75.93,447976.49,248739.755,48.755,4.954,2.751,0.001,9043072.0,1581.0,2020.0,1745.0,1494.0
2021-03-07,Austria,weekly,9,1554.0,1520.0,1805.0,1668.0,1623.0,1883.0,1714.0,1696.0,2021.0,1764.0,1768.0,1590.0,1967.0,152.0,15009.428,1645223.0,0.913,75.93,597478.429,266210.286,54.082,6.607,2.944,0.001,9043072.0,1520.0,2021.0,1724.8,1438.0
2021-03-14,Austria,weekly,10,1554.0,1597.0,1762.0,1729.0,1564.0,1846.0,1532.0,1614.0,1965.0,1811.0,1744.0,1752.0,,160.0,17291.428,1736653.0,0.995,75.93,808665.837,295026.388,59.714,8.942,3.262,0.001,9043072.0,1532.0,1965.0,1697.4,1592.0
