date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Mauritius,monthly,1,,,,,,,877.75,764.2,862.2,900.0,972.0,931.0,1375.6,0.0,7.998,,,19.044,,,,,,,1299478.0,764.2,900.0,851.038,931.0
2021-01-17,Mauritius,monthly,2,,,,,,,886.5,782.4,873.4,929.75,970.25,939.0,1315.2,0.0,10.429,,,19.44,,,,,,,1299478.0,782.4,929.75,868.012,939.0
2021-01-24,Mauritius,monthly,3,,,,,,,895.25,800.6,884.6,959.5,968.5,947.0,1254.8,0.0,9.287,,,19.44,,,,,,,1299478.0,800.6,959.5,884.988,947.0
2021-01-31,Mauritius,monthly,4,,,,,,,904.0,818.8,895.8,989.25,966.75,955.0,1194.4,0.0,11.57,,,19.44,88.714,,,0.007,,,1299478.0,818.8,989.25,901.962,955.0
2021-02-07,Mauritius,monthly,5,,,,,,845.0,888.2,837.0,907.0,1019.0,965.0,929.5,1134.0,0.0,15.144,,,19.44,888.75,,,0.068,,,1299478.0,837.0,1019.0,899.24,929.5
2021-02-14,Mauritius,monthly,6,,,,,,811.5,872.4,804.25,891.75,975.0,935.0,904.0,1118.25,0.0,10.284,,,19.44,2479.5,,,0.191,,,1299478.0,804.25,975.0,870.98,904.0
2021-02-21,Mauritius,monthly,7,,,,,,778.0,856.6,771.5,876.5,931.0,905.0,878.5,1102.5,0.0,9.858,,,19.44,8377.444,,,0.645,,,1299478.0,771.5,931.0,842.72,878.5
2021-02-28,Mauritius,monthly,8,,,,,,744.5,840.8,738.75,861.25,887.0,875.0,853.0,1086.75,0.0,6.429,,,19.44,29781.286,,,2.292,,,1299478.0,738.75,887.0,814.46,853.0
2021-03-07,Mauritius,monthly,9,,,,,,711.0,825.0,706.0,846.0,843.0,845.0,872.8,1071.0,0.0,15.287,,,17.066,52477.286,,,4.038,,,1299478.0,706.0,846.0,786.2,872.8
2021-03-14,Mauritius,monthly,10,,,,,,723.4,844.5,746.25,869.75,870.75,861.8,892.6,1129.75,0.0,39.144,,,68.786,75173.286,,,5.785,,,1299478.0,723.4,870.75,810.93,892.6
2021-03-21,Mauritius,monthly,11,,,,,,735.8,864.0,786.5,893.5,898.5,878.6,912.4,1188.5,0.0,127.431,,,92.594,97869.286,,,7.531,,,1299478.0,735.8,898.5,835.66,912.4
2021-03-28,Mauritius,monthly,12,,,,,,748.2,883.5,826.75,917.25,926.25,895.4,932.2,1247.25,0.0,52.429,,,96.691,118699.017,,,9.134,,,1299478.0,748.2,926.25,860.39,932.2
2021-04-04,Mauritius,monthly,13,,,,,,760.6,903.0,867.0,941.0,954.0,912.2,952.0,1306.0,0.0,181.999,,,96.431,132810.184,,,10.22,,,1299478.0,760.6,954.0,885.12,952.0
2021-04-11,Mauritius,monthly,14,,,,,,773.0,860.5,847.5,925.8,937.8,929.0,930.0,1224.5,1.5,130.999,,,96.3,146361.469,,,11.263,,,1299478.0,773.0,937.8,868.92,928.5
2021-04-18,Mauritius,monthly,15,,,,,,769.25,818.0,828.0,910.6,921.6,909.25,908.0,1143.0,3.0,40.285,,,96.3,159912.755,,,12.306,,,1299478.0,769.25,921.6,849.49,905.0
2021-04-25,Mauritius,monthly,16,,,,,,765.5,775.5,808.5,895.4,905.4,889.5,886.0,1061.5,4.5,8.714,,,91.534,173464.041,,,13.349,,,1299478.0,765.5,905.4,830.06,881.5
2021-05-02,Mauritius,monthly,17,,,,,,761.75,733.0,789.0,880.2,889.2,869.75,864.0,980.0,6.0,6.716,,,85.449,187015.327,,,14.392,,,1299478.0,733.0,889.2,810.63,858.0
