location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Luxembourg,2021-01-10,1,weekly,84.0,86.0,84.0,87.0,74.0,81.0,75.0,95.0,85.0,98.0,62.0,101.0,32.0,170.95914285714284,7139.571428571428,59.26,1552.3061224489795,,634814.0,2.3945294835624384,0.24452928297879054,,74.0,98.0,84.9,69.0
Luxembourg,2021-01-17,2,weekly,86.0,90.0,62.0,73.0,81.0,87.0,81.0,123.0,100.0,82.0,85.0,96.0,22.0,134.02014285714284,8144.857142857143,51.85,3116.9285714285716,,634814.0,1.6454572561125334,0.4909987132338876,,62.0,123.0,86.5,74.0
Luxembourg,2021-01-24,3,weekly,80.0,83.0,73.0,88.0,68.0,80.0,85.0,107.0,84.0,81.0,92.0,89.0,13.0,117.26557142857143,6442.714285714285,51.85,5563.142857142857,1065.642857142857,634814.0,1.820126832080534,0.8763421816694114,0.16786694325311935,68.0,107.0,82.9,76.0
Luxembourg,2021-01-31,4,weekly,73.0,79.0,68.0,87.0,80.0,94.0,83.0,101.0,85.0,83.0,86.0,110.0,15.0,129.87757142857143,7120.0,51.85,9570.92857142857,1495.357142857143,634814.0,1.8241231942215088,1.5076744639262163,0.23555831201850352,68.0,101.0,83.3,95.0
Luxembourg,2021-02-07,5,weekly,86.0,85.0,86.0,87.0,91.0,100.0,79.0,110.0,96.0,101.0,89.0,94.0,13.0,154.77542857142856,8213.142857142857,51.85,12984.5,3055.1428571428573,634814.0,1.8844847978849233,2.0454022753121386,0.4812658285959127,79.0,110.0,92.1,81.0
Luxembourg,2021-02-14,6,weekly,77.0,67.0,78.0,76.0,64.0,100.0,72.0,92.0,115.0,106.0,90.0,89.0,16.0,153.20385714285712,9415.57142857143,55.56,15906.5,5101.5,634814.0,1.6271328650108479,2.505694581404947,0.803621218183594,64.0,115.0,84.7,73.0
Luxembourg,2021-02-21,7,weekly,77.0,62.0,84.0,88.0,82.0,92.0,85.0,86.0,111.0,112.0,70.0,93.0,16.0,164.59157142857143,9318.57142857143,55.56,21408.714285714286,7023.428571428572,634814.0,1.7662747202207574,3.372438901113442,1.1063758158182666,62.0,112.0,87.9,77.0
Luxembourg,2021-02-28,8,weekly,83.0,100.0,95.0,86.0,81.0,115.0,65.0,71.0,112.0,89.0,85.0,86.0,15.0,187.408,8822.857142857143,55.56,25836.85714285714,9847.285714285714,634814.0,2.124119170984456,4.069988554577741,1.5512080253878637,65.0,115.0,89.7,71.0
Luxembourg,2021-03-07,9,weekly,93.0,78.0,82.0,84.0,87.0,88.0,82.0,67.0,111.0,90.0,74.0,89.0,15.0,175.65314285714288,8828.42857142857,55.56,30533.64285714286,13141.785714285714,634814.0,1.9896309001763788,4.809856565410161,2.0701789365523937,67.0,111.0,86.2,74.0
Luxembourg,2021-03-14,10,weekly,74.0,71.0,91.0,114.0,74.0,112.0,91.0,89.0,135.0,83.0,92.0,114.0,29.0,170.8777142857143,8798.42857142857,55.56,39130.42857142857,15097.0,634814.0,1.9421390183311955,6.164077756859265,2.3781769148128427,71.0,135.0,93.4,85.0
Luxembourg,2021-03-21,11,weekly,71.0,89.0,87.0,85.0,76.0,84.0,86.0,75.0,85.0,78.0,87.0,115.0,33.0,195.89828571428572,9001.142857142857,55.56,52024.71428571428,17222.285714285714,634814.0,2.1763712544438802,8.195268895410985,2.7129656425796713,71.0,89.0,81.6,82.0
Luxembourg,2021-03-28,12,weekly,62.0,65.0,80.0,76.0,81.0,73.0,91.0,89.0,94.0,83.0,87.0,78.0,24.0,217.99985714285714,9378.57142857143,55.56,62611.42857142857,19740.571428571428,634814.0,2.324446306169078,9.862956483541412,3.109662267777873,62.0,94.0,79.4,54.0
Luxembourg,2021-04-04,13,weekly,86.0,62.0,79.0,78.0,72.0,88.0,82.0,99.0,70.0,92.0,113.0,78.0,12.0,234.694,10472.714285714286,49.208571428571425,75761.42857142857,23307.928571428572,634814.0,2.241004515134567,11.934429387415616,3.671615397806062,62.0,99.0,80.8,66.0
Luxembourg,2021-04-11,14,weekly,68.0,71.0,73.0,74.0,69.0,91.0,78.0,97.0,75.0,77.0,91.0,88.0,13.0,182.408,8918.57142857143,48.15,91076.28571428571,30482.85714285714,634814.0,2.0452602915265095,14.346924565980856,4.801856471794438,68.0,97.0,77.3,75.0
Luxembourg,2021-04-18,15,weekly,66.0,59.0,82.0,70.0,78.0,75.0,70.0,63.0,80.0,70.0,116.0,75.0,22.0,203.24471428571428,8731.285714285714,48.15,110263.07142857143,42440.49725274725,634814.0,2.327775323549142,17.369350932489112,6.685501147225368,59.0,82.0,71.3,53.0
Luxembourg,2021-04-25,16,weekly,71.0,76.0,65.0,84.0,71.0,80.0,71.0,83.0,83.0,78.0,88.0,83.0,5.0,180.3672857142857,8199.857142857143,48.15,125534.28571428571,58722.28846153846,634814.0,2.1996393665394867,19.774971206414115,9.250314022932459,65.0,84.0,76.2,78.0
Luxembourg,2021-05-02,17,weekly,67.0,90.0,69.0,75.0,84.0,72.0,63.0,90.0,64.0,82.0,83.0,93.0,6.0,174.551,7612.285714285715,48.15,140655.2857142857,74950.84615384616,634814.0,2.2930169275231767,22.156928756184602,11.806741211417226,63.0,90.0,75.6,87.0
Luxembourg,2021-05-09,18,weekly,70.0,81.0,77.0,79.0,77.0,61.0,76.0,74.0,67.0,81.0,69.0,77.0,5.0,143.10228571428573,7279.285714285715,48.15,165118.5,91179.40384615386,634814.0,1.9658836228044354,26.010532218886162,14.363168399901996,61.0,81.0,74.3,72.0
Luxembourg,2021-05-16,19,weekly,78.0,65.0,61.0,49.0,48.0,68.0,68.0,73.0,77.0,66.0,87.0,63.0,5.0,117.93871428571428,7389.142857142857,47.75285714285714,191403.57142857142,107407.96153846153,634814.0,1.596108189621839,30.1511263816758,16.91959558838676,48.0,78.0,65.3,58.0
