date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2020-01-05,Maldives,monthly,1,,,,,,,104.0,100.2,116.4,112.0,58.0,,,,,,,,,,,,,,,100.2,116.4,108.15,
2020-01-12,Maldives,monthly,2,,,,,,,110.0,99.4,115.8,111.5,72.0,,,,,,,,,,,,,,,99.4,115.8,109.175,
2020-01-19,Maldives,monthly,3,,,,,,,116.0,98.6,115.2,111.0,86.0,,,,,,,,,,,,,,,98.6,116.0,110.2,
2020-01-26,Maldives,monthly,4,,,,,,,122.0,97.8,114.6,110.5,100.0,,,,,,,,,,,,,,,97.8,122.0,111.225,
2020-02-02,Maldives,monthly,5,,,,,,94.0,121.8,97.0,114.0,110.0,114.0,,,,,,,,,,,,,,,94.0,121.8,107.35999999999999,
2020-02-09,Maldives,monthly,6,,,,,,93.25,121.6,98.75,110.0,102.0,109.5,,,,,,,,,,,,,,,93.25,121.6,105.12,
2020-02-16,Maldives,monthly,7,,,,,,92.5,121.4,100.5,106.0,94.0,105.0,,,,,,,,,,,,,,,92.5,121.4,102.88,
2020-02-23,Maldives,monthly,8,,,,,,91.75,121.2,102.25,102.0,86.0,100.5,,,,,,,,,,,,,,,86.0,121.2,100.64,
2020-03-01,Maldives,monthly,9,,,,,,91.0,121.0,104.0,98.0,78.0,96.0,,,,,,,,,,,,,,,78.0,121.0,98.4,
2020-03-08,Maldives,monthly,10,,,,,,94.2,123.0,111.5,102.75,83.75,98.6,,,,0.0,0.0,,,,,,,,,543620.0,83.75,123.0,103.04,
2020-03-15,Maldives,monthly,11,,,,,,97.4,125.0,119.0,107.5,89.5,101.2,,,,4.001,0.0,,,,,,,,,543620.0,89.5,125.0,107.67999999999999,
2020-03-22,Maldives,monthly,12,,,,,,100.6,127.0,126.5,112.25,95.25,103.8,,,,4.7139999999999995,0.0,,,,,,,,,543620.0,95.25,127.0,112.32000000000001,
2020-03-29,Maldives,monthly,13,,,,,,103.8,129.0,134.0,117.0,101.0,106.4,,,,1.4289999999999998,334.0,0.5242719267109511,,,,,,,,543620.0,101.0,134.0,116.96,
2020-04-05,Maldives,monthly,14,,,,,,107.0,121.0,127.75,113.4,98.2,109.0,,,0.0,4.143,490.0,0.9130682238412605,,,,,,,,543620.0,98.2,127.75,113.47,109.0
2020-04-12,Maldives,monthly,15,,,,,,108.75,113.0,121.5,109.8,95.4,104.5,,,0.25,0.572,1019.0,0.06617426796805678,,,,,,,,543620.0,95.4,121.5,109.69000000000001,104.25
2020-04-19,Maldives,monthly,16,,,,,,110.5,105.0,115.25,106.2,92.6,100.0,,,0.5,9.715,902.0,0.9551125099305485,,,,,,,,543620.0,92.6,115.25,105.91,99.5
2020-04-26,Maldives,monthly,17,,,,,,112.25,97.0,109.0,102.6,89.8,95.5,,,0.75,94.858,1631.0,5.6034267887752645,,,,,,,,543620.0,89.8,112.25,102.13000000000001,94.75
2020-05-03,Maldives,monthly,18,,,,,,114.0,98.4,106.0,99.0,87.0,91.0,,,1.0,270.429,2546.0,10.473095056278689,,,,,,,,543620.0,87.0,114.0,100.88,90.0
2020-05-10,Maldives,monthly,19,,,,,,107.25,99.8,103.0,102.5,87.5,95.5,,,1.75,284.14300000000003,2944.0,9.718367153988895,,,,,,,,543620.0,87.5,107.25,100.01,93.75
2020-05-17,Maldives,monthly,20,,,,,,100.5,101.2,100.0,106.0,88.0,100.0,,,2.5,313.286,3069.0,10.20990559718199,,,,,,,,543620.0,88.0,106.0,99.14,97.5
2020-05-24,Maldives,monthly,21,,,,,,93.75,102.6,97.0,109.5,88.5,104.5,,,3.25,238.285,3418.0,6.968914368430215,,,,,,,,543620.0,88.5,109.5,98.27000000000001,101.25
2020-05-31,Maldives,monthly,22,,,,,,87.0,104.0,94.0,113.0,89.0,109.0,,,4.0,318.573,4743.0,6.729183985842998,,,,,,,,543620.0,87.0,113.0,97.4,105.0
2020-06-07,Maldives,monthly,23,,,,,,87.2,102.5,96.25,107.0,86.75,105.4,,,4.0,319.999,5571.0,5.769452280449138,,,,,,,,543620.0,86.75,107.0,95.94,101.4
2020-06-14,Maldives,monthly,24,,,,,,87.4,101.0,98.5,101.0,84.5,101.8,,,4.0,109.715,5572.0,1.9806339751827309,,,,,,,,543620.0,84.5,101.0,94.47999999999999,97.8
2020-06-21,Maldives,monthly,25,,,,,,87.6,99.5,100.75,95.0,82.25,98.2,,,4.0,158.428,5995.0,2.659078673151018,,,,,,,,543620.0,82.25,100.75,93.02000000000001,94.2
2020-06-28,Maldives,monthly,26,,,,,,87.8,98.0,103.0,89.0,80.0,94.6,,,4.0,135.571,7217.0,1.8787525543838532,,,,,,,,543620.0,80.0,103.0,91.56,90.6
2020-07-05,Maldives,monthly,27,,,,,,88.0,94.25,103.4,91.2,83.6,91.0,,,4.0,126.85600000000001,6862.0,1.8507776246310474,,,,,,,,543620.0,83.6,103.4,92.08999999999999,87.0
2020-07-12,Maldives,monthly,28,,,,,,84.25,90.5,103.8,93.4,87.2,97.0,,,4.75,182.999,6456.0,2.9764324704650105,,,,,,,,543620.0,84.25,103.8,91.83000000000001,92.25
