date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,Brunei,monthly,1,,,,,,,140.5,150.2,131.2,132.0,165.0,,,0.8,88.572,,,48.409,406118.633,401578.204,119325.616,90.449,89.438,26.576,449002.0,131.2,150.2,138.475,
2022-01-16,Brunei,monthly,2,,,,,,,143.0,151.4,140.4,134.0,169.5,,,0.6,194.714,,,50.776,406427.224,402300.184,128277.159,90.518,89.599,28.569,449002.0,134.0,151.4,142.2,
2022-01-23,Brunei,monthly,3,,,,,,,145.5,152.6,149.6,136.0,174.0,,,0.4,251.571,,,50.766,406724.98,402923.327,142201.783,90.584,89.738,31.671,449002.0,136.0,152.6,145.925,
2022-01-30,Brunei,monthly,4,,,,,,,148.0,153.8,158.8,138.0,178.5,,,0.2,236.573,,,50.756,406996.857,403333.551,156126.406,90.645,89.829,34.772,449002.0,138.0,158.8,149.65,
2022-02-06,Brunei,monthly,5,,,,,,120.0,141.8,155.0,168.0,140.0,183.0,,,0.0,624.144,,,50.75,407192.857,403670.429,170051.029,90.688,89.904,37.873,449002.0,120.0,168.0,144.96,
2022-02-13,Brunei,monthly,6,,,,,,114.25,135.6,149.0,158.5,142.5,175.0,,,6.75,3055.573,,,50.746,407368.551,403998.347,183975.652,90.728,89.977,40.974,449002.0,114.25,158.5,139.97,
2022-02-20,Brunei,monthly,7,,,,,,108.5,129.4,143.0,149.0,145.0,167.0,,,13.5,7512.713,,,50.74,407536.776,404262.286,197900.275,90.765,90.036,44.076,449002.0,108.5,149.0,134.98,
2022-02-27,Brunei,monthly,8,,,,,,102.75,123.2,137.0,139.5,147.5,159.0,,,20.25,20810.429,,,50.736,407657.939,404469.735,211824.899,90.792,90.082,47.177,449002.0,102.75,147.5,129.99,
2022-03-06,Brunei,monthly,9,,,,,,97.0,117.0,131.0,130.0,150.0,151.0,,,27.0,28035.001,,,50.73,407760.571,404624.571,225749.522,90.815,90.116,50.278,449002.0,97.0,150.0,125.0,
2022-03-13,Brunei,monthly,10,,,,,,105.6,120.0,135.25,133.0,147.5,151.0,,,41.0,26983.571,,,53.7,407859.612,404767.816,239674.145,90.837,90.148,53.379,449002.0,105.6,147.5,128.27,
2022-03-20,Brunei,monthly,11,,,,,,114.2,123.0,139.5,136.0,145.0,151.0,,,55.0,16866.858,,,53.7,407935.878,404914.796,253039.322,90.854,90.181,56.356,449002.0,114.2,145.0,131.54,
2022-03-27,Brunei,monthly,12,,,,,,122.8,126.0,143.75,139.0,142.5,151.0,,,69.0,8823.571,,,53.7,408017.796,405074.041,259683.796,90.872,90.217,57.836,449002.0,122.8,143.75,134.81,
2022-04-03,Brunei,monthly,13,,,,,,131.4,129.0,148.0,142.0,140.0,151.0,,,83.0,5283.572,,,50.477,408372.776,405254.857,264213.776,90.951,90.257,58.845,449002.0,129.0,148.0,138.08,
2022-04-10,Brunei,monthly,14,,,,,,140.0,128.0,142.5,145.4,143.4,151.0,,,64.75,3303.572,,,46.18,411569.005,405444.158,266899.0,91.663,90.299,59.443,449002.0,128.0,145.4,139.86,
2022-04-17,Brunei,monthly,15,,,,,,135.25,127.0,137.0,148.8,146.8,147.75,,,46.5,1909.286,,,46.18,416343.5,406201.929,270460.143,92.726,90.468,60.236,449002.0,127.0,148.8,138.97,
2022-04-24,Brunei,monthly,16,,,,,,130.5,126.0,131.5,152.2,150.2,144.5,,,28.25,1242.141,,,46.18,421343.25,407121.179,274414.143,93.84,90.672,61.116,449002.0,126.0,152.2,138.08,
2022-05-01,Brunei,monthly,17,,,,,,125.75,125.0,126.0,155.6,153.6,141.25,,,10.0,932.287,,,46.18,426343.0,408040.429,278368.143,94.953,90.877,61.997,449002.0,125.0,155.6,137.19,
2022-05-08,Brunei,monthly,18,,,,,,121.0,125.6,128.0,159.0,157.0,138.0,,,9.0,710.285,,,46.15,431578.051,409324.99,282681.653,96.119,91.163,62.958,449002.0,121.0,159.0,138.12,
2022-05-15,Brunei,monthly,19,,,,,,125.0,126.2,130.0,153.5,154.75,137.5,,,8.0,1550.286,,,43.937,439230.796,414921.959,291012.959,97.824,92.41,64.813,449002.0,125.0,154.75,137.89,
2022-05-22,Brunei,monthly,20,,,,,,129.0,126.8,132.0,148.0,152.5,137.0,,,7.0,1882.714,,,38.527,442733.612,420840.612,296927.571,98.604,93.728,66.131,449002.0,126.8,152.5,137.66,
2022-05-29,Brunei,monthly,21,,,,,,133.0,127.4,134.0,142.5,150.25,136.5,,,6.0,1691.715,,,38.427,444099.816,426013.684,301082.02,98.908,94.88,67.056,449002.0,127.4,150.25,137.43,
2022-06-05,Brunei,monthly,22,,,,,,137.0,128.0,136.0,137.0,148.0,136.0,,,5.0,1903.859,,,21.177,444959.857,430733.857,304287.0,99.1,95.931,67.77,449002.0,128.0,148.0,137.2,
2022-06-12,Brunei,monthly,23,,,,,,134.6,127.75,128.25,127.5,143.75,145.2,,,4.25,2580.287,,,14.227,445709.706,435129.453,307228.908,99.267,96.91,68.425,449002.0,127.5,143.75,132.37,
2022-06-19,Brunei,monthly,24,,,,,,132.2,127.5,120.5,118.0,139.5,154.4,,,3.5,3181.571,,,14.016,446121.743,436694.2,309521.714,99.359,97.259,68.935,449002.0,118.0,139.5,127.54,
2022-06-26,Brunei,monthly,25,,,,,,129.8,127.25,112.75,108.5,135.25,163.6,,,2.75,3753.572,,,13.97,446439.943,437472.6,311634.214,99.429,97.432,69.406,449002.0,108.5,135.25,122.71,
2022-07-03,Brunei,monthly,26,,,,,,127.4,127.0,105.0,99.0,131.0,172.8,,,2.0,4694.57,,,13.97,446758.143,438251.0,313746.714,99.5,97.606,69.876,449002.0,99.0,131.0,117.88,
2022-07-10,Brunei,monthly,27,,,,,,125.0,123.0,118.6,104.0,135.2,182.0,,,1.5,7022.715,,,13.97,447076.343,439029.4,315859.214,99.571,97.779,70.347,449002.0,104.0,135.2,121.16,
2022-07-17,Brunei,monthly,28,,,,,,127.25,119.0,132.2,109.0,139.4,171.5,,,1.0,10095.715,,,13.97,447394.543,439807.8,317971.714,99.642,97.952,70.817,449002.0,109.0,139.4,125.37,
2022-07-24,Brunei,monthly,29,,,,,,129.5,115.0,145.8,114.0,143.6,161.0,,,0.5,11979.285,,,13.97,447712.743,440586.2,320084.214,99.713,98.126,71.288,449002.0,114.0,145.8,129.58,
2022-07-31,Brunei,monthly,30,,,,,,131.75,111.0,159.4,119.0,147.8,150.5,,,0.0,11243.713,,,13.97,448030.943,441364.6,322196.714,99.784,98.299,71.758,449002.0,111.0,159.4,133.79,
2022-08-07,Brunei,monthly,31,,,,,,134.0,121.8,173.0,124.0,152.0,140.0,,,0.0,6384.572,,,13.97,448349.143,442143.0,324309.214,99.855,98.472,72.229,449002.0,121.8,173.0,140.96,
2022-08-14,Brunei,monthly,32,,,,,,133.4,132.6,171.25,127.75,148.0,141.6,,,0.0,4398.288,,,13.97,448667.343,442921.4,326421.714,99.925,98.646,72.699,449002.0,127.75,171.25,142.6,
2022-08-21,Brunei,monthly,33,,,,,,132.8,143.4,169.5,131.5,144.0,143.2,,,0.0,589.429,,,13.949,448973.286,443668.551,328526.714,99.994,98.812,73.168,449002.0,131.5,169.5,144.24,
2022-08-28,Brunei,monthly,34,,,,,,132.2,154.2,167.75,135.25,140.0,144.8,,,0.0,3544.285,,,13.92,449142.061,444044.694,330578.694,100.031,98.896,73.625,449002.0,132.2,167.75,145.88,
2022-09-04,Brunei,monthly,35,,,,,,131.6,165.0,166.0,139.0,136.0,146.4,,,0.0,1417.714,,,13.92,449392.673,444365.163,333032.531,100.087,98.967,74.172,449002.0,131.6,166.0,147.52,
2022-09-11,Brunei,monthly,36,,,,,,131.0,158.25,160.5,135.25,142.8,148.0,,,0.0,2412.0,,,13.92,449704.066,444696.801,335292.704,100.156,99.041,74.675,449002.0,131.0,160.5,145.56,
2022-09-18,Brunei,monthly,37,,,,,,135.0,151.5,155.0,131.5,149.6,141.5,,,0.0,1509.855,,,12.314,449831.357,444899.929,336126.714,100.185,99.086,74.861,449002.0,131.5,155.0,144.52,
2022-09-25,Brunei,monthly,38,,,,,,139.0,144.75,149.5,127.75,156.4,135.0,,,0.0,1837.716,,,11.11,449904.107,445066.679,336580.214,100.201,99.124,74.962,449002.0,127.75,156.4,143.48,
2022-10-02,Brunei,monthly,39,,,,,,143.0,138.0,144.0,124.0,163.2,128.5,,,0.0,1317.429,,,11.11,449976.857,445233.429,337033.714,100.217,99.161,75.063,449002.0,124.0,163.2,142.44,
2022-10-09,Brunei,monthly,40,,,,,,147.0,143.6,145.4,131.2,170.0,122.0,,,0.0,2070.284,,,11.11,450047.48,445394.806,337469.714,100.233,99.197,75.16,449002.0,131.2,170.0,147.44,
2022-10-16,Brunei,monthly,41,,,,,,145.75,149.2,146.8,138.4,160.5,124.75,,,0.0,2130.998,,,11.11,450092.571,445491.714,337695.714,100.243,99.218,75.21,449002.0,138.4,160.5,148.13,
2022-10-23,Brunei,monthly,42,,,,,,144.5,154.8,148.2,145.6,151.0,127.5,,,0.0,2665.998,,,11.11,450130.571,445570.714,337863.381,100.251,99.236,75.248,449002.0,144.5,154.8,148.82,
2022-10-30,Brunei,monthly,43,,,,,,143.25,160.4,149.6,152.8,141.5,130.25,,,0.0,3027.572,,,11.11,450169.704,445648.704,338035.384,100.26,99.253,75.286,449002.0,141.5,160.4,149.51,
2022-11-06,Brunei,monthly,44,,,,,,142.0,166.0,151.0,160.0,132.0,133.0,,,0.0,2859.143,,,11.11,450222.429,445714.571,338259.429,100.272,99.268,75.336,449002.0,132.0,166.0,150.2,
2022-11-13,Brunei,monthly,45,,,,,,136.6,156.75,148.0,144.5,133.0,132.0,,,0.0,3507.285,,,,450279.051,445777.622,338497.255,100.284,99.282,75.389,449002.0,133.0,156.75,143.77,
2022-11-20,Brunei,monthly,46,,,,,,131.2,147.5,145.0,129.0,134.0,131.0,,,0.0,4668.856,,,,450337.143,445847.286,338727.0,100.297,99.297,75.44,449002.0,129.0,147.5,137.34,
2022-11-27,Brunei,monthly,47,,,,,,125.8,138.25,142.0,113.5,135.0,130.0,,,0.0,3855.287,,,,450387.286,445908.571,338922.0,100.309,99.311,75.483,449002.0,113.5,142.0,130.91,
2022-12-04,Brunei,monthly,48,,,,,,120.4,129.0,139.0,98.0,136.0,129.0,,,0.0,4523.572,,,,,,,,,,449002.0,98.0,139.0,124.48,
2022-12-11,Brunei,monthly,49,,,,,,115.0,134.0,134.75,104.8,141.8,128.0,,,0.0,1792.714,,,,,,,,,,449002.0,104.8,141.8,126.07,
2022-12-18,Brunei,monthly,50,,,,,,120.75,139.0,130.5,111.6,147.6,131.0,,,,,,,,,,,,,,,111.6,147.6,129.89,
2022-12-25,Brunei,monthly,51,,,,,,126.5,144.0,126.25,118.4,153.4,134.0,,,,,,,,,,,,,,,118.4,153.4,133.71,
2023-01-01,Brunei,monthly,52,,,,,,132.25,149.0,122.0,125.2,159.2,137.0,,,,,,,,,,,,,,,122.0,159.2,137.53,
2023-01-08,Brunei,monthly,1,,,,,,138.0,150.2,131.2,132.0,165.0,140.0,,,,,,,,,,,,,,,131.2,165.0,143.28,
