date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Denmark,weekly,1,1159.0,1244.0,1089.0,1307.0,1025.0,1127.0,1103.0,1113.0,1134.0,1130.0,1117.0,1234.0,1350.0,196.0,13493.859,562065.0,2.415,68.384,80529.714,2.0,,1.376,0.0,,5854240.0,1025.0,1307.0,1143.1,1038.0
2021-01-17,Denmark,weekly,2,1127.0,1099.0,1083.0,1201.0,1017.0,1108.0,1065.0,1111.0,1136.0,1155.0,1150.0,1213.0,1210.0,205.0,9404.286,553630.0,1.712,70.37,124765.0,97.286,,2.131,0.002,,5854240.0,1017.0,1201.0,1110.2,1008.0
2021-01-24,Denmark,weekly,3,1120.0,1093.0,1052.0,1184.0,1050.0,1093.0,1046.0,1099.0,1156.0,1118.0,1071.0,1270.0,1179.0,208.0,6351.285,715779.0,0.895,70.37,154657.571,10602.429,,2.642,0.181,,5854240.0,1046.0,1184.0,1101.1,1062.0
2021-01-31,Denmark,weekly,4,1058.0,1086.0,1142.0,1152.0,1015.0,1068.0,1124.0,1104.0,1119.0,1085.0,1033.0,1218.0,1179.0,142.0,4759.0,779204.0,0.611,70.37,158797.571,45276.143,,2.713,0.773,,5854240.0,1015.0,1152.0,1095.3,1076.0
2021-02-07,Denmark,weekly,5,1102.0,1067.0,983.0,1247.0,1055.0,1086.0,1083.0,1211.0,1157.0,1209.0,1094.0,1206.0,1209.0,91.0,3255.857,796080.0,0.409,70.37,166082.857,101784.286,,2.837,1.739,,5854240.0,983.0,1247.0,1120.0,1115.0
2021-02-14,Denmark,weekly,6,1128.0,1055.0,1080.0,1237.0,1053.0,1118.0,1040.0,1100.0,1186.0,1250.0,1079.0,1113.0,1281.0,76.0,2989.713,822425.0,0.364,66.67,187775.714,139175.286,,3.208,2.377,,5854240.0,1040.0,1250.0,1124.7,1037.0
2021-02-21,Denmark,weekly,7,1135.0,1124.0,1086.0,1229.0,1114.0,1106.0,1062.0,1228.0,1265.0,1176.0,1059.0,1062.0,1267.0,46.0,2853.857,840972.0,0.339,65.61,253141.143,152200.571,,4.324,2.6,,5854240.0,1062.0,1265.0,1152.5,1016.0
2021-02-28,Denmark,weekly,8,1177.0,1035.0,1106.0,1143.0,1020.0,1131.0,1124.0,1156.0,1260.0,1110.0,1034.0,970.0,1254.0,23.0,3509.142,924493.0,0.38,62.96,345117.0,158812.286,3.667,5.895,2.713,0.0,5854240.0,1020.0,1260.0,1126.2,947.0
2021-03-07,Denmark,weekly,9,1182.0,1117.0,1067.0,1201.0,997.0,1177.0,1143.0,1179.0,1323.0,1090.0,1025.0,974.0,1230.0,18.0,3663.715,1048544.0,0.35,62.96,453626.286,169632.571,11.143,7.749,2.898,0.0,5854240.0,997.0,1323.0,1147.6,956.0
2021-03-14,Denmark,weekly,10,1128.0,1089.0,974.0,1119.0,993.0,1210.0,1149.0,1101.0,1337.0,1051.0,1061.0,1052.0,1221.0,12.0,4866.571,1069342.0,0.455,62.96,527341.857,206507.429,24.714,9.008,3.527,0.0,5854240.0,974.0,1337.0,1115.1,1040.0
