date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Russia,monthly,1,,,,,,,163521.9,169427.38,154202.76,151536.0,152007.4,229653.25,211013.6,16524.5,170821.143,1995750.0,8.61,50.064,890909.091,,,0.611,,,145912022.0,151536.0,169427.38,159672.01,213128.75
2021-01-17,Russia,monthly,2,,,,,,,169163.1,172004.66,156165.62,156029.35,154257.325,226358.5,206498.2,16269.0,162204.714,2687548.0,6.138,50.46,1086205.828,,,0.744,,,145912022.0,156029.35,172004.66,163340.682,210089.5
2021-01-24,Russia,monthly,3,,,,,,,174804.3,174581.94,158128.48,160522.7,156507.25,223063.75,201982.8,16013.5,156740.714,2852723.0,5.5,50.46,1526389.0,,,1.046,,,145912022.0,158128.48,174804.3,167009.355,207050.25
2021-01-31,Russia,monthly,4,,,,,,,180445.5,177159.22,160091.34,165016.05,158757.175,219769.0,197467.4,15758.0,136607.286,2662530.0,5.129,49.403,1986979.375,,,1.362,,,145912022.0,160091.34,180445.5,170678.027,204011.0
2021-02-07,Russia,monthly,5,,,,,,176303.6,174923.88,179736.5,162054.2,169509.4,161007.1,207994.75,192952.0,14986.25,121803.999,2467089.0,4.937,45.83,2447569.75,,,1.677,,,145912022.0,162054.2,179736.5,172505.516,193008.5
2021-02-14,Russia,monthly,6,,,,,,171742.625,169402.26,172055.275,157567.8,164385.6,157577.925,196220.5,,14214.5,108266.286,2430385.0,4.455,45.83,2908160.125,,,1.993,,,145912022.0,157567.8,172055.275,167030.712,182006.0
2021-02-21,Russia,monthly,7,,,,,,167181.65,163880.64,164374.05,153081.4,159261.8,154148.75,184446.25,,13442.75,96334.714,2272857.0,4.24,45.83,3368750.5,,,2.309,,,145912022.0,153081.4,167181.65,161555.908,171003.5
2021-02-28,Russia,monthly,8,,,,,,162620.675,158359.02,156692.825,148595.0,154138.0,150719.575,172672.0,,12671.0,85251.0,2050676.0,4.169,45.83,3829340.875,,,2.624,,,145912022.0,148595.0,162620.675,156081.104,160001.0
2021-03-07,Russia,monthly,9,,,,,,158059.7,152837.4,149011.6,144108.6,149014.2,147290.4,176401.6,,12640.6,77329.857,2158330.0,3.601,43.451,4622558.625,1337626.0,,3.168,0.917,,145912022.0,144108.6,158059.7,150606.3,163761.0
2021-03-14,Russia,monthly,10,,,,,,161094.2,154374.525,150337.15,150963.175,150888.1,148816.92,180131.2,,12610.2,70485.715,2028254.0,3.481,40.28,5290890.143,1859360.143,,3.626,1.274,,145912022.0,150337.15,161094.2,153531.43,167521.0
2021-03-21,Russia,monthly,11,,,,,,164128.7,155911.65,151662.7,157817.75,152762.0,150343.44,183860.8,,12579.8,66333.284,2170511.0,3.059,40.28,5473465.571,2518883.571,,3.751,1.726,,145912022.0,151662.7,164128.7,156456.56,171281.0
2021-03-28,Russia,monthly,12,,,,,,167163.2,157448.775,152988.25,164672.325,154635.9,151869.96,187590.4,,12549.4,63777.43,2100482.0,3.037,39.75,6228901.5,3514561.0,,4.269,2.409,,145912022.0,152988.25,167163.2,159381.69,175041.0
2021-04-04,Russia,monthly,13,,,,,,170197.7,158985.9,154313.8,171526.9,156509.8,153396.48,191320.0,,12519.0,60861.428,2111260.0,2.884,36.57,7156421.143,4452477.286,,4.905,3.051,,145912022.0,154313.8,171526.9,162306.82,178801.0
