location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,stringency_index,people_vaccinated,people_fully_vaccinated,population,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Hong Kong,2020-01-31,1,monthly,,,,,,4838.0,4316.0,4203.0,4607.0,4777.0,4323.0,5511.0,0.0,35.904444444444444,,,7496988.0,,,4203.0,4838.0,4548.2,4323.0
Hong Kong,2020-02-29,2,monthly,,,,,,4329.0,4699.0,3917.0,4660.0,3982.0,3926.0,4306.0,2.0,51.88448275862067,,,7496988.0,,,3917.0,4699.0,4317.4,3924.0
Hong Kong,2020-03-31,3,monthly,,,,,,4197.0,4589.0,4183.0,4264.0,4216.0,4206.0,4231.0,2.0,48.83548387096775,,,7496988.0,,,4183.0,4589.0,4289.8,4204.0
Hong Kong,2020-04-30,4,monthly,,,,,,3720.0,4067.0,3785.0,3862.0,4074.0,3722.0,,0.0,66.20666666666669,,,7496988.0,,,3720.0,4074.0,3901.6,3722.0
Hong Kong,2020-05-31,5,monthly,,,,,,3792.0,3996.0,3819.0,3738.0,4028.0,5613.0,,0.0,63.20387096774197,,,7496988.0,,,3738.0,4028.0,3874.6,5613.0
Hong Kong,2020-06-30,6,monthly,,,,,,3684.0,3471.0,3710.0,3551.0,3837.0,3536.0,,3.0,48.33600000000001,,,7496988.0,,,3471.0,3837.0,3650.6,3533.0
Hong Kong,2020-07-31,7,monthly,,,,,,3665.0,3606.0,4176.0,3608.0,3962.0,3886.0,,20.0,55.37967741935486,,,7496988.0,,,3606.0,4176.0,3803.4,3866.0
Hong Kong,2020-08-31,8,monthly,,,,,,3519.0,3535.0,3872.0,3714.0,3859.0,4334.0,,62.0,66.67000000000003,,,7496988.0,,,3519.0,3872.0,3699.8,4272.0
Hong Kong,2020-09-30,9,monthly,,,,,,3418.0,3375.0,3500.0,3478.0,3716.0,3492.0,,16.0,62.346,,,7496988.0,,,3375.0,3716.0,3497.4,3476.0
Hong Kong,2020-10-31,10,monthly,,,,,,3678.0,3602.0,3789.0,3844.0,3924.0,4265.0,,0.0,51.84999999999997,,,7496988.0,,,3602.0,3924.0,3767.4,4265.0
Hong Kong,2020-11-30,11,monthly,,,,,,3302.0,3643.0,3605.0,3783.0,3946.0,4145.0,,4.0,55.12433333333332,,,7496988.0,,,3302.0,3946.0,3655.8,4141.0
Hong Kong,2020-12-31,12,monthly,,,,,,3966.0,4006.0,4270.0,4291.0,4636.0,4373.0,,39.0,71.03096774193547,,,7496988.0,,,3966.0,4636.0,4233.8,4334.0
