location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,stringency_index,people_vaccinated,people_fully_vaccinated,population,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Italy,2020-01-05,1,weekly,,13118.0,13668.0,13095.0,13432.0,15178.0,13517.0,18072.0,16245.0,14168.0,13483.0,16015.0,,,,,,,,13095.0,18072.0,14499.222222222223,
Italy,2020-01-12,2,weekly,,13104.0,13919.0,12855.0,13165.0,15811.0,13055.0,18990.0,15947.0,14863.0,13974.0,16038.0,,,,,,,,12855.0,18990.0,14634.333333333334,
Italy,2020-01-19,3,weekly,,12946.0,14098.0,12898.0,12807.0,15480.0,13545.0,17973.0,15234.0,15325.0,14049.0,16222.0,,,,,,,,12807.0,17973.0,14478.444444444445,
Italy,2020-01-26,4,weekly,,13111.0,14099.0,12849.0,12862.0,14922.0,13388.0,16487.0,14698.0,15360.0,13989.0,15598.0,,,,,,,,12849.0,16487.0,14197.333333333334,
Italy,2020-02-02,5,weekly,,12870.0,14693.0,13450.0,13161.0,15228.0,12997.0,15747.0,14551.0,15807.0,13900.0,14827.0,0.0,19.44,,,60461828.0,,,12870.0,15807.0,14278.222222222223,13900.0
Italy,2020-02-09,6,weekly,,13230.0,15672.0,13269.0,13102.0,15640.0,13168.0,14081.0,13844.0,15228.0,13537.0,13512.0,0.0,19.44,,,60461828.0,,,13102.0,15672.0,14137.111111111111,13537.0
Italy,2020-02-16,7,weekly,,13008.0,16114.0,13885.0,12981.0,15510.0,12685.0,13852.0,14034.0,15072.0,13641.0,14075.0,0.0,19.44,,,60461828.0,,,12685.0,16114.0,14126.777777777777,13641.0
Italy,2020-02-23,8,weekly,,12543.0,15370.0,14002.0,12606.0,15149.0,12709.0,13290.0,14026.0,14674.0,13257.0,13576.0,3.0,30.35571428571429,,,60461828.0,,,12543.0,15370.0,13818.777777777777,13254.0
Italy,2020-03-01,9,weekly,,12960.0,14199.0,13666.0,12745.0,14544.0,12772.0,13148.0,14406.0,14605.0,13696.0,,31.0,69.90999999999998,,,60461828.0,,,12745.0,14605.0,13671.666666666666,13665.0
Italy,2020-03-08,10,weekly,,12880.0,12914.0,13541.0,12624.0,14211.0,12845.0,12917.0,14197.0,13827.0,14706.0,,332.0,72.95285714285716,,,60461828.0,,,12624.0,14211.0,13328.444444444445,14374.0
