date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Latvia,weekly,1,649.0,630.0,591.0,687.0,561.0,617.0,684.0,606.0,567.0,586.0,603.0,837.0,684.0,169.0,6368.001,62891.0,10.245,58.996,5372.143,7.0,1.143,0.288,0.0,0.0,1866934.0,561.0,687.0,617.8,668.0
2021-01-17,Latvia,weekly,2,635.0,646.0,580.0,576.0,593.0,608.0,649.0,616.0,555.0,669.0,591.0,822.0,680.0,129.0,6491.285,72711.0,8.924,57.41,13039.714,21.714,2.0,0.698,0.001,0.0,1866934.0,555.0,669.0,612.7,693.0
2021-01-24,Latvia,weekly,3,658.0,618.0,546.0,607.0,534.0,622.0,634.0,631.0,598.0,669.0,537.0,789.0,651.0,133.0,5674.144,71802.0,7.902,57.41,16809.429,1873.429,2.0,0.9,0.1,0.0,1866934.0,534.0,669.0,611.7,656.0
2021-01-31,Latvia,weekly,4,663.0,577.0,588.0,638.0,569.0,618.0,670.0,567.0,606.0,612.0,555.0,785.0,589.0,84.0,5258.571,68212.0,7.712,57.41,17340.143,5094.857,3.0,0.929,0.273,0.0,1866934.0,567.0,670.0,610.8,701.0
2021-02-07,Latvia,weekly,5,653.0,569.0,634.0,743.0,591.0,624.0,551.0,630.0,587.0,636.0,560.0,761.0,666.0,144.0,5498.143,67793.0,8.111,57.41,17933.0,11996.429,4.0,0.961,0.643,0.0,1866934.0,551.0,743.0,621.8,617.0
2021-02-14,Latvia,weekly,6,648.0,619.0,678.0,682.0,576.0,573.0,557.0,623.0,568.0,619.0,534.0,697.0,676.0,112.0,5211.571,68810.0,7.574,55.289,20126.714,15629.286,4.0,1.078,0.837,0.0,1866934.0,557.0,682.0,614.3,585.0
2021-02-21,Latvia,weekly,7,621.0,598.0,665.0,618.0,553.0,623.0,581.0,637.0,589.0,599.0,545.0,680.0,725.0,91.0,4761.286,66907.0,7.116,56.48,26543.571,16886.714,4.0,1.422,0.905,0.0,1866934.0,553.0,665.0,608.4,589.0
2021-02-28,Latvia,weekly,8,593.0,637.0,731.0,610.0,559.0,596.0,565.0,695.0,671.0,596.0,543.0,661.0,669.0,76.0,4799.142,68148.0,7.048,56.48,40773.0,17196.571,4.0,2.184,0.921,0.0,1866934.0,559.0,731.0,625.3,585.0
2021-03-07,Latvia,weekly,9,518.0,620.0,634.0,598.0,576.0,607.0,608.0,652.0,707.0,572.0,523.0,595.0,699.0,77.0,4438.286,76491.0,5.831,56.48,58203.286,18071.429,4.0,3.118,0.968,0.0,1866934.0,518.0,707.0,609.2,518.0
2021-03-14,Latvia,weekly,10,607.0,607.0,615.0,619.0,542.0,605.0,582.0,641.0,699.0,575.0,507.0,604.0,651.0,72.0,3656.858,86468.0,4.247,56.48,74875.714,18436.857,4.0,4.011,0.988,0.0,1866934.0,542.0,699.0,609.2,532.0
2021-03-21,Latvia,weekly,11,605.0,596.0,589.0,625.0,559.0,600.0,604.0,567.0,664.0,533.0,549.0,628.0,691.0,59.0,3623.142,89968.0,4.029,56.48,84853.714,19025.857,4.0,4.545,1.019,0.0,1866934.0,533.0,664.0,594.2,569.0
2021-03-28,Latvia,weekly,12,599.0,525.0,584.0,649.0,591.0,565.0,577.0,614.0,706.0,557.0,546.0,579.0,663.0,52.0,3561.57,91325.0,3.902,56.48,100630.429,21222.571,4.0,5.39,1.137,0.0,1866934.0,525.0,706.0,596.7,527.0
2021-04-04,Latvia,weekly,13,566.0,558.0,554.0,625.0,539.0,555.0,606.0,570.0,687.0,562.0,532.0,606.0,602.0,53.0,3424.0,90355.0,3.789,56.48,119281.714,24770.0,4.0,6.389,1.327,0.0,1866934.0,539.0,687.0,582.2,553.0
2021-04-11,Latvia,weekly,14,560.0,579.0,591.0,589.0,523.0,565.0,575.0,602.0,648.0,523.0,571.0,549.0,,55.0,3058.143,82812.0,3.709,56.48,146640.286,26687.143,4.0,7.855,1.429,0.0,1866934.0,523.0,648.0,575.5,494.0
2021-04-18,Latvia,weekly,15,561.0,559.0,609.0,573.0,541.0,600.0,566.0,553.0,606.0,552.0,567.0,589.0,,67.0,3770.715,101248.0,3.732,56.48,175200.286,28263.714,4.0,9.384,1.514,0.0,1866934.0,541.0,609.0,572.0,522.0
