date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,positive_rate,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2020-01-05,New Zealand,weekly,1,,564.0,516.0,568.0,525.0,564.0,564.0,528.0,582.0,609.0,591.0,668.0,,,,,,,,,,,,,,,516.0,609.0,557.7777777777778,
2020-01-12,New Zealand,weekly,2,,543.0,544.0,561.0,522.0,566.0,558.0,601.0,611.0,604.0,581.0,631.0,,,,,,,,,,,,,,,522.0,611.0,567.7777777777778,
2020-01-19,New Zealand,weekly,3,,507.0,532.0,558.0,545.0,595.0,519.0,557.0,576.0,625.0,641.0,659.0,,,,,,,,,,,,,,,507.0,625.0,557.1111111111111,
2020-01-26,New Zealand,weekly,4,,516.0,508.0,520.0,520.0,531.0,541.0,608.0,653.0,589.0,609.0,603.0,,,,,,,,,,,,,,,508.0,653.0,554.0,
2020-02-02,New Zealand,weekly,5,,585.0,520.0,516.0,497.0,587.0,552.0,591.0,591.0,544.0,615.0,642.0,,,,,,,,,,,,,,,497.0,591.0,553.6666666666666,
2020-02-09,New Zealand,weekly,6,,560.0,499.0,508.0,542.0,567.0,523.0,564.0,624.0,557.0,588.0,647.0,,,,,,,,,,,,,,,499.0,624.0,549.3333333333334,
2020-02-16,New Zealand,weekly,7,,533.0,520.0,506.0,565.0,577.0,517.0,571.0,542.0,558.0,618.0,590.0,,,,,,,,,,,,,,,506.0,577.0,543.2222222222222,
2020-02-23,New Zealand,weekly,8,,677.0,520.0,512.0,546.0,542.0,568.0,580.0,583.0,571.0,622.0,603.0,,,,,,,,,,,,,,,512.0,677.0,566.5555555555555,
2020-03-01,New Zealand,weekly,9,,513.0,494.0,499.0,532.0,586.0,534.0,572.0,572.0,618.0,595.0,640.0,,0.0,0.0,0.0,,19.44,,,,,,,5126300.0,,494.0,618.0,546.6666666666666,595.0
2020-03-08,New Zealand,weekly,10,,523.0,519.0,511.0,528.0,550.0,511.0,599.0,602.0,626.0,611.0,618.0,,0.0,2.429,35.0,1.6314285714285712,19.44,,,,,,,5126300.0,1.63,511.0,626.0,552.1111111111111,611.0
