date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2020-01-05,Luxembourg,weekly,1,84.0,86.0,84.0,87.0,74.0,81.0,75.0,95.0,85.0,98.0,62.0,101.0,,,,,,,,,,,,,,74.0,98.0,84.9,
2020-01-12,Luxembourg,weekly,2,86.0,90.0,62.0,73.0,81.0,87.0,81.0,123.0,100.0,82.0,85.0,96.0,,,,,,,,,,,,,,62.0,123.0,86.5,
2020-01-19,Luxembourg,weekly,3,80.0,83.0,73.0,88.0,68.0,80.0,85.0,107.0,84.0,81.0,92.0,89.0,,,,,,,,,,,,,,68.0,107.0,82.9,
2020-01-26,Luxembourg,weekly,4,73.0,79.0,68.0,87.0,80.0,94.0,83.0,101.0,85.0,83.0,86.0,110.0,,,,,,,,,,,,,,68.0,101.0,83.3,
2020-02-02,Luxembourg,weekly,5,86.0,85.0,86.0,87.0,91.0,100.0,79.0,110.0,96.0,101.0,89.0,94.0,,,,,,,,,,,,,,79.0,110.0,92.1,
2020-02-09,Luxembourg,weekly,6,77.0,67.0,78.0,76.0,64.0,100.0,72.0,92.0,115.0,106.0,90.0,89.0,,,,,,,,,,,,,,64.0,115.0,84.7,
2020-02-16,Luxembourg,weekly,7,77.0,62.0,84.0,88.0,82.0,92.0,85.0,86.0,111.0,112.0,70.0,93.0,,,,,,,,,,,,,,62.0,112.0,87.9,
2020-02-23,Luxembourg,weekly,8,83.0,100.0,95.0,86.0,81.0,115.0,65.0,71.0,112.0,89.0,85.0,86.0,,,,,,,,,,,,,,65.0,115.0,89.7,
2020-03-01,Luxembourg,weekly,9,93.0,78.0,82.0,84.0,87.0,88.0,82.0,67.0,111.0,90.0,74.0,89.0,,0.0,,,0.0,,,,634814.0,,,,,67.0,111.0,86.2,74.0
2020-03-08,Luxembourg,weekly,10,74.0,71.0,91.0,114.0,74.0,112.0,91.0,89.0,135.0,83.0,92.0,114.0,,0.0,0.2145,2.7142857142857144,6.348571428571428,,,,634814.0,7.902631578947368,,,,71.0,135.0,93.4,92.0
