date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,positive_rate,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Slovakia,weekly,1,1000.0,1092.0,1059.0,1083.0,1028.0,1112.0,1072.0,1411.0,1094.0,1105.0,1147.0,2089.0,,601.0,44302.857,395923.0,11.416788426609184,65.86999999999999,48929.0,,3.142857142857143,0.8979000856995524,,5.767482879095994e-05,5449270.0,11.385714285714286,1000.0,1411.0,1105.6,1488.0
2021-01-17,Slovakia,weekly,2,996.0,1112.0,1058.0,1103.0,1055.0,1187.0,948.0,1410.0,1150.0,1094.0,1109.0,2125.0,,556.0,38786.570999999996,483597.0,8.017517266620775,73.15,83149.85714285714,2800.0,4.571428571428571,1.5258898374067926,0.051383029286491584,8.389066005957809e-05,5449270.0,7.542857142857143,948.0,1410.0,1111.3,1569.0
2021-01-24,Slovakia,weekly,3,1097.0,1054.0,1034.0,1136.0,990.0,1210.0,1026.0,1390.0,1198.0,1176.0,1086.0,1995.0,,594.0,30628.572,972453.0,4.158414905017432,73.15,121025.14285714286,6784.571428571428,5.0,2.2209423070822853,0.12450422586092134,9.175540944016354e-05,5449270.0,4.1571428571428575,990.0,1390.0,1131.1,1401.0
2021-01-31,Slovakia,weekly,4,1145.0,1049.0,1035.0,1109.0,1019.0,1235.0,982.0,1355.0,1095.0,1135.0,1107.0,1971.0,,574.0,35856.43,1984193.0,1.8378532070272418,73.15,164401.42857142858,22658.714285714286,5.0,3.016944078223846,0.4158119213346794,9.175540944016354e-05,5449270.0,1.8,982.0,1355.0,1115.9,1397.0
2021-02-07,Slovakia,weekly,5,1103.0,1066.0,1000.0,1141.0,962.0,1292.0,1045.0,1339.0,1205.0,1224.0,1159.0,1986.0,,557.0,35541.570999999996,1580805.0,2.25990468603874,73.15,212971.7142857143,50192.71428571428,5.0,3.9082613686918486,0.9210906100397721,9.175540944016354e-05,5449270.0,2.314285714285714,962.0,1339.0,1137.7,1429.0
2021-02-14,Slovakia,weekly,6,1125.0,1151.0,1096.0,1150.0,972.0,1226.0,1041.0,1202.0,1159.0,1339.0,1101.0,2080.0,,686.0,38425.998999999996,2073956.0,1.854872214669489,71.3,257265.7142857143,82284.71428571429,5.0,4.721104189840369,1.5100135299905177,9.175540944016354e-05,5449270.0,1.8571428571428572,972.0,1339.0,1146.1,1394.0
2021-02-21,Slovakia,weekly,7,1045.0,1023.0,1119.0,1151.0,1008.0,1275.0,1051.0,1224.0,1140.0,1252.0,1181.0,2009.0,,620.0,36947.713,2070689.0,1.7843972445474583,71.3,296103.4285714286,118208.28571428571,5.0,5.43381826504153,2.1692499309868243,9.175540944016354e-05,5449270.0,1.7999999999999996,1008.0,1275.0,1128.8,1389.0
2021-02-28,Slovakia,weekly,8,1009.0,1117.0,1066.0,1121.0,1029.0,1266.0,1023.0,1115.0,1292.0,1254.0,1088.0,1964.0,,684.0,38978.144,2112143.0,1.8455530665118798,71.3,341684.5714285714,161023.14285714287,5.0,6.270281550163076,2.954948880439818,9.175540944016354e-05,5449270.0,1.8714285714285714,1009.0,1292.0,1129.2,1280.0
2021-03-07,Slovakia,weekly,9,1006.0,1058.0,1042.0,1163.0,959.0,1235.0,1003.0,1159.0,1353.0,1208.0,1152.0,1866.0,,647.0,38022.714,2244753.0,1.6955109643018271,71.3,402407.85714285716,202236.0,5.0,7.384619538816339,3.711249396708183,9.175540944016354e-05,5449270.0,1.657142857142857,959.0,1353.0,1118.6,1219.0
2021-03-14,Slovakia,weekly,10,1035.0,1085.0,1047.0,1136.0,991.0,1164.0,1009.0,1002.0,1357.0,1200.0,1131.0,1782.0,,692.0,32742.571,2300174.0,1.4234682372907321,71.3,492832.14285714284,232510.85714285713,5.0,9.044003010626064,4.266825779285247,9.175540944016354e-05,5449270.0,1.4000000000000001,991.0,1357.0,1102.6,1090.0
