date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Slovakia,weekly,1,1000.0,1092.0,1059.0,1083.0,1028.0,1112.0,1072.0,1411.0,1094.0,1105.0,1147.0,2089.0,,601.0,44302.857,395923.0,11.417,65.87,49190.0,,1.571,0.903,,0.0,5449270.0,1000.0,1411.0,1105.6,1488.0
2021-01-17,Slovakia,weekly,2,996.0,1112.0,1058.0,1103.0,1055.0,1187.0,948.0,1410.0,1150.0,1094.0,1109.0,2125.0,,556.0,38786.571,483597.0,8.018,73.15,83512.143,2849.0,3.143,1.533,0.052,0.0,5449270.0,948.0,1410.0,1111.3,1569.0
2021-01-24,Slovakia,weekly,3,1097.0,1054.0,1034.0,1136.0,990.0,1210.0,1026.0,1390.0,1198.0,1176.0,1086.0,1995.0,,594.0,30628.572,972453.0,4.158,73.15,121457.429,6867.286,4.0,2.229,0.126,0.0,5449270.0,990.0,1390.0,1131.1,1401.0
2021-01-31,Slovakia,weekly,4,1145.0,1049.0,1035.0,1109.0,1019.0,1235.0,982.0,1355.0,1095.0,1135.0,1107.0,1971.0,,574.0,35856.43,1984193.0,1.838,73.15,164888.429,22849.571,4.0,3.026,0.419,0.0,5449270.0,982.0,1355.0,1115.9,1397.0
2021-02-07,Slovakia,weekly,5,1103.0,1066.0,1000.0,1141.0,962.0,1292.0,1045.0,1339.0,1205.0,1224.0,1159.0,1986.0,,557.0,35541.571,1580805.0,2.26,73.15,213519.143,50539.429,4.0,3.918,0.927,0.0,5449270.0,962.0,1339.0,1137.7,1429.0
2021-02-14,Slovakia,weekly,6,1125.0,1151.0,1096.0,1150.0,972.0,1226.0,1041.0,1202.0,1159.0,1339.0,1101.0,2080.0,,686.0,38425.999,2073956.0,1.855,71.3,257828.0,82759.429,4.0,4.731,1.519,0.0,5449270.0,972.0,1339.0,1146.1,1394.0
2021-02-21,Slovakia,weekly,7,1045.0,1023.0,1119.0,1151.0,1008.0,1275.0,1051.0,1224.0,1140.0,1252.0,1181.0,2009.0,,620.0,36947.713,2070689.0,1.784,71.3,296678.571,118772.0,4.0,5.444,2.18,0.0,5449270.0,1008.0,1275.0,1128.8,1389.0
2021-02-28,Slovakia,weekly,8,1009.0,1117.0,1066.0,1121.0,1029.0,1266.0,1023.0,1115.0,1292.0,1254.0,1088.0,1964.0,,684.0,38978.144,2112143.0,1.846,71.3,342364.0,161842.857,4.0,6.283,2.97,0.0,5449270.0,1009.0,1292.0,1129.2,1280.0
2021-03-07,Slovakia,weekly,9,1006.0,1058.0,1042.0,1163.0,959.0,1235.0,1003.0,1159.0,1353.0,1208.0,1152.0,1866.0,,647.0,38022.714,2244753.0,1.696,71.3,403377.0,203271.143,4.0,7.402,3.73,0.0,5449270.0,959.0,1353.0,1118.6,1219.0
2021-03-14,Slovakia,weekly,10,1035.0,1085.0,1047.0,1136.0,991.0,1164.0,1009.0,1002.0,1357.0,1200.0,1131.0,1782.0,,692.0,32742.571,2300174.0,1.423,71.3,494040.857,233600.571,4.0,9.066,4.287,0.0,5449270.0,991.0,1357.0,1102.6,1090.0
2021-03-21,Slovakia,weekly,11,1029.0,1097.0,1005.0,1091.0,1007.0,1186.0,1032.0,1016.0,1165.0,1110.0,1122.0,1677.0,,516.0,27812.858,2276772.0,1.221,72.091,604944.714,254405.571,4.0,11.101,4.669,0.0,5449270.0,1005.0,1186.0,1073.8,1161.0
2021-03-28,Slovakia,weekly,12,1004.0,988.0,1128.0,1051.0,1089.0,1102.0,1026.0,1092.0,1111.0,1068.0,1187.0,1584.0,,452.0,22464.572,2245929.0,1.0,74.07,709682.0,266258.857,4.0,13.023,4.886,0.0,5449270.0,988.0,1128.0,1065.9,1132.0
