location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Canada,2020-01-05,1,weekly,4955.0,5460.0,5000.0,6045.0,5430.0,6255.0,5250.0,6170.0,6605.0,6055.0,6180.0,6545.0,,,,,,,,,,,4955.0,6605.0,5722.5,
Canada,2020-01-12,2,weekly,4895.0,5145.0,4995.0,5925.0,5675.0,6190.0,5470.0,6225.0,6630.0,5940.0,6210.0,6550.0,,,,,,,,,,,4895.0,6630.0,5709.0,
Canada,2020-01-19,3,weekly,4780.0,5210.0,5180.0,5830.0,5320.0,6045.0,5330.0,6285.0,6545.0,5985.0,6115.0,6500.0,,,,,,,,,,,4780.0,6545.0,5651.0,
Canada,2020-01-26,4,weekly,4630.0,5135.0,5105.0,5520.0,5245.0,5685.0,5415.0,6060.0,6415.0,5935.0,6140.0,6395.0,0.0,,,2.78,,,37742157.0,,,,4630.0,6415.0,5514.5,6140.0
Canada,2020-02-02,5,weekly,4695.0,5035.0,4865.0,5475.0,5165.0,5745.0,5230.0,5855.0,6200.0,5850.0,5835.0,6210.0,0.0,0.5236666666666666,,2.7800000000000002,,,37742157.0,,,,4695.0,6200.0,5411.5,5835.0
Canada,2020-02-09,6,weekly,4695.0,5050.0,4960.0,5180.0,5155.0,5655.0,5240.0,6025.0,6015.0,5795.0,5885.0,5870.0,0.0,0.4085714285714285,8.0,2.7800000000000002,,,37742157.0,5.107142857142856,,,4695.0,6025.0,5377.0,5885.0
Canada,2020-02-16,7,weekly,4795.0,5080.0,4825.0,5305.0,5190.0,5535.0,5430.0,5870.0,5990.0,5850.0,5720.0,5815.0,0.0,0.20428571428571426,6.428571428571429,2.7800000000000002,,,37742157.0,3.177777777777777,,,4795.0,5990.0,5387.0,5720.0
Canada,2020-02-23,8,weekly,4705.0,5055.0,4875.0,5050.0,5150.0,5535.0,5495.0,5710.0,6020.0,5785.0,5675.0,5680.0,0.0,0.20428571428571426,9.285714285714286,2.7800000000000002,,,37742157.0,2.1999999999999997,,,4705.0,6020.0,5338.0,5675.0
Canada,2020-03-01,9,weekly,4745.0,4950.0,4925.0,5060.0,5105.0,5555.0,5585.0,5550.0,5775.0,5725.0,5775.0,5645.0,0.0,1.0407142857142857,32.57142857142857,2.7800000000000002,,,37742157.0,3.195175438596491,,,4745.0,5775.0,5297.5,5775.0
Canada,2020-03-08,10,weekly,4720.0,5130.0,4865.0,4930.0,5025.0,5415.0,5445.0,5600.0,5905.0,5735.0,5760.0,5475.0,0.0,5.0,134.71428571428572,2.7800000000000002,,,37742157.0,3.711558854718982,,,4720.0,5905.0,5277.0,5760.0
Canada,2020-03-15,11,weekly,4700.0,5005.0,4840.0,4905.0,5115.0,5330.0,5360.0,5630.0,5655.0,5650.0,5670.0,5245.0,1.0,17.101857142857142,1030.0,16.004285714285714,,,37742157.0,1.660374479889043,,,4700.0,5655.0,5219.0,5669.0
Canada,2020-03-22,12,weekly,4775.0,4770.0,4925.0,5035.0,5065.0,5255.0,5480.0,5560.0,5600.0,5620.0,5870.0,5305.0,21.0,128.87771428571426,4959.571428571428,60.45142857142857,,,37742157.0,2.598565544257856,,,4770.0,5620.0,5208.5,5849.0
Canada,2020-03-29,13,weekly,4770.0,4995.0,4745.0,4885.0,5140.0,5260.0,5325.0,5485.0,5685.0,5565.0,5915.0,5115.0,74.0,507.3265714285714,10122.142857142857,72.69,,,37742157.0,5.012047138522335,,,4745.0,5685.0,5185.5,5841.0
Canada,2020-04-05,14,weekly,4510.0,4815.0,4750.0,4915.0,4940.0,5055.0,5280.0,5400.0,5585.0,5535.0,6290.0,,339.0,1075.2244285714285,13446.142857142857,73.48285714285716,,,37742157.0,7.996526885033413,,,4510.0,5585.0,5078.5,5951.0
Canada,2020-04-12,15,weekly,4710.0,4655.0,4825.0,4930.0,5060.0,5265.0,5185.0,5260.0,5540.0,5555.0,6575.0,,660.0,1328.857142857143,11817.285714285714,72.69,,,37742157.0,11.24502846919162,,,4655.0,5555.0,5098.5,5915.0
