location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Liechtenstein,2020-01-31,1,monthly,,,,,,25.0,33.0,27.0,25.0,15.0,19.0,31.0,,15.0,33.0,25.0,
Liechtenstein,2020-02-29,2,monthly,,,,,,22.0,19.0,15.0,20.0,25.0,30.0,23.0,,15.0,25.0,20.2,
Liechtenstein,2020-03-31,3,monthly,,,,,,30.0,23.0,26.0,36.0,22.0,23.0,16.0,0.0,22.0,36.0,27.4,23.0
Liechtenstein,2020-04-30,4,monthly,,,,,,17.0,20.0,15.0,22.0,27.0,22.0,,1.0,15.0,27.0,20.2,21.0
Liechtenstein,2020-05-31,5,monthly,,,,,,14.0,22.0,19.0,17.0,20.0,21.0,,0.0,14.0,22.0,18.4,21.0
Liechtenstein,2020-06-30,6,monthly,,,,,,19.0,12.0,22.0,23.0,21.0,18.0,,0.0,12.0,23.0,19.4,18.0
Liechtenstein,2020-07-31,7,monthly,,,,,,25.0,27.0,16.0,20.0,20.0,19.0,,0.0,16.0,27.0,21.6,19.0
Liechtenstein,2020-08-31,8,monthly,,,,,,22.0,23.0,17.0,28.0,23.0,23.0,,0.0,17.0,28.0,22.6,23.0
Liechtenstein,2020-09-30,9,monthly,,,,,,24.0,24.0,15.0,22.0,19.0,30.0,,0.0,15.0,24.0,20.8,30.0
Liechtenstein,2020-10-31,10,monthly,,,,,,18.0,25.0,29.0,17.0,23.0,23.0,,2.0,17.0,29.0,22.4,21.0
Liechtenstein,2020-11-30,11,monthly,,,,,,21.0,17.0,19.0,25.0,28.0,39.0,,13.0,17.0,28.0,22.0,26.0
Liechtenstein,2020-12-31,12,monthly,,,,,,15.0,26.0,29.0,19.0,20.0,51.0,,23.0,15.0,29.0,21.8,28.0
